student_term_id,student_id,term_id,program_id,credits_attempted,credits_earned,cumulative_credits,cumulative_gpa,enrollment_intensity
T0000063,STU00021,2024FA,P003,12,12,34.0,3.76,Full Time
T0000064,STU00022,2025FA,P004,13,9,9.0,1.69,Full Time
T0000065,STU00022,2026SP,P004,6,6,15.0,1.95,Part Time
T0000066,STU00023,2025FA,P001,13,13,13.0,2.69,Full Time
T0000067,STU00023,2026SP,P001,12,12,25.0,2.6,Full Time
T0000068,STU00024,2025FA,P001,7,1,1.0,1.25,Part Time
T0000069,STU00024,2026SP,P001,6,0,1.0,0.8,Part Time
T0000070,STU00025,2022FA,P003,10,10,10.0,4.0,Part Time
T0000071,STU00025,2023SP,P003,6,6,16.0,3.81,Part Time
T0000072,STU00025,2023FA,P003,12,12,28.0,3.89,Full Time
T0000073,STU00025,2024SP,P003,10,10,38.0,3.82,Part Time
T0000074,STU00026,2024FA,P002,7,4,4.0,1.71,Part Time
T0000075,STU00026,2025SP,P002,9,6,10.0,2.06,Part Time
T0000076,STU00026,2025FA,P002,9,6,16.0,2.04,Part Time
T0000077,STU00026,2026SP,P002,7,7,23.0,2.12,Part Time
T0000078,STU00027,2024FA,P005,10,7,7.0,2.0,Part Time
T0000079,STU00027,2025SP,P005,9,9,16.0,2.38,Part Time
T0000080,STU00027,2025SU,P005,7,7,23.0,2.39,Part Time
T0000081,STU00027,2025FA,P005,9,6,29.0,2.19,Part Time
T0000082,STU00027,2026SP,P005,13,0,29.0,1.85,Full Time
T0000083,STU00028,2023FA,P001,7,7,7.0,3.57,Part Time
T0000084,STU00028,2024SP,P001,12,12,19.0,3.37,Full Time
T0000085,STU00029,2023SP,P007,7,7,7.0,3.57,Part Time
T0000086,STU00029,2023FA,P007,15,12,19.0,3.32,Full Time
T0000087,STU00029,2024SP,P007,12,9,28.0,3.29,Full Time
T0000088,STU00029,2024FA,P007,17,17,45.0,3.25,Full Time
T0000089,STU00030,2025FA,P005,10,0,0.0,0.7,Part Time
T0000090,STU00030,2026SP,P005,9,6,6.0,1.32,Part Time
T0000091,STU00031,2024FA,P003,7,3,3.0,2.0,Part Time
T0000092,STU00031,2025SP,P003,6,0,3.0,1.33,Part Time
T0000093,STU00031,2025SU,P004,9,6,9.0,1.67,Part Time
T0000094,STU00031,2025FA,P004,15,3,12.0,1.4,Full Time
T0000095,STU00031,2026SP,P004,13,13,25.0,1.65,Full Time
T0000096,STU00032,2025FA,P002,7,7,7.0,3.57,Part Time
T0000097,STU00032,2026SP,P002,15,12,19.0,3.05,Full Time
T0000098,STU00033,2024FA,P006,10,10,10.0,4.0,Part Time
T0000099,STU00033,2025SP,P006,15,15,25.0,3.52,Full Time
T0000100,STU00033,2025SU,P006,9,9,34.0,3.56,Part Time
T0000101,STU00033,2025FA,P006,13,13,47.0,3.62,Full Time
T0000102,STU00033,2026SP,P006,16,16,63.0,3.54,Full Time
T0000103,STU00034,2024FA,P004,7,7,7.0,3.86,Part Time
T0000104,STU00034,2025SP,P004,12,12,19.0,2.84,Full Time
T0000105,STU00034,2025FA,P004,12,12,31.0,3.1,Full Time
T0000106,STU00034,2026SP,P004,9,9,40.0,3.23,Part Time
T0000107,STU00035,2024FA,P003,10,10,10.0,3.1,Part Time
T0000108,STU00035,2025SP,P003,12,12,22.0,3.18,Full Time
T0000109,STU00035,2025FA,P003,12,12,34.0,3.03,Full Time
T0000110,STU00036,2025SP,P002,7,7,7.0,3.43,Part Time
T0000111,STU00036,2025FA,P002,9,9,16.0,3.56,Part Time
T0000112,STU00037,2022FA,P008,13,9,9.0,2.54,Full Time
T0000113,STU00037,2023SP,P008,9,3,12.0,2.21,Part Time
T0000114,STU00037,2023SU,P008,12,12,24.0,2.32,Full Time
T0000115,STU00037,2023FA,P008,13,13,37.0,2.36,Full Time
T0000116,STU00037,2024SP,P008,9,9,46.0,2.53,Part Time
T0000117,STU00037,2024FA,P008,9,6,52.0,2.53,Part Time
T0000118,STU00038,2024FA,P004,7,7,7.0,3.43,Part Time
T0000119,STU00038,2025SP,P004,9,9,16.0,3.75,Part Time
T0000120,STU00038,2025SU,P004,15,15,31.0,3.77,Full Time
T0000121,STU00039,2023SP,P004,13,13,13.0,3.23,Full Time
T0000122,STU00039,2023FA,P004,6,6,19.0,3.47,Part Time
T0000123,STU00039,2024SP,P004,12,12,31.0,3.58,Full Time
T0000124,STU00039,2024FA,P004,7,7,38.0,3.58,Part Time
T0000125,STU00040,2025SP,P003,7,3,3.0,0.86,Part Time
T0000126,STU00040,2025FA,P003,12,0,3.0,0.63,Full Time
T0000127,STU00040,2026SP,P003,6,3,6.0,0.84,Part Time
T0000128,STU00041,2023FA,P001,13,7,7.0,2.31,Full Time
T0000129,STU00042,2023SP,P007,7,7,7.0,2.57,Part Time
T0000130,STU00042,2023FA,P007,9,6,13.0,2.25,Part Time
T0000131,STU00042,2024SP,P007,6,3,16.0,2.18,Part Time
T0000132,STU00042,2024SU,P007,12,9,25.0,2.29,Full Time
T0000133,STU00042,2024FA,P007,13,13,38.0,2.51,Full Time
T0000134,STU00042,2025SP,P007,12,9,47.0,2.46,Full Time
T0000135,STU00043,2022FA,P002,7,7,7.0,2.57,Part Time
T0000136,STU00043,2023SP,P002,12,9,16.0,2.53,Full Time
T0000137,STU00043,2023FA,P002,9,6,22.0,2.25,Part Time
T0000138,STU00044,2023FA,P004,7,7,7.0,4.0,Part Time
T0000139,STU00044,2024SP,P004,6,6,13.0,4.0,Part Time
T0000140,STU00044,2024FA,P004,6,6,19.0,4.0,Part Time
T0000141,STU00044,2025SP,P004,6,6,25.0,4.0,Part Time
T0000142,STU00045,2025SP,P007,10,10,10.0,3.7,Part Time
T0000143,STU00045,2025FA,P007,6,6,16.0,3.81,Part Time
T0000144,STU00045,2026SP,P007,6,6,22.0,3.86,Part Time
T0000145,STU00046,2024SP,P004,13,13,13.0,3.77,Full Time
T0000146,STU00046,2024SU,P004,9,9,22.0,3.73,Part Time
T0000147,STU00046,2024FA,P004,12,12,34.0,3.56,Full Time
T0000148,STU00046,2025SP,P004,13,13,47.0,3.6,Full Time
T0000149,STU00047,2022FA,P001,7,4,4.0,1.71,Part Time
T0000150,STU00047,2023SP,P001,15,12,16.0,1.91,Full Time
T0000151,STU00047,2023SU,P004,6,6,22.0,2.14,Part Time
T0000152,STU00047,2023FA,P004,12,9,31.0,2.17,Full Time
T0000153,STU00047,2024SP,P004,13,13,44.0,2.3,Full Time
T0000154,STU00047,2024SU,P004,9,9,53.0,2.35,Part Time
T0000155,STU00048,2023FA,P002,13,10,10.0,2.15,Full Time
T0000156,STU00048,2024SP,P002,12,12,22.0,2.68,Full Time
T0000157,STU00048,2024FA,P002,16,13,35.0,2.49,Full Time
T0000158,STU00049,2024FA,P006,7,1,1.0,1.0,Part Time
T0000159,STU00049,2025SP,P006,9,3,4.0,1.6,Part Time
T0000160,STU00050,2024SP,P003,7,7,7.0,2.29,Part Time
T0000161,STU00050,2024FA,P003,16,16,23.0,2.74,Full Time
T0000162,STU00050,2025SP,P003,15,15,38.0,3.08,Full Time
T0000163,STU00050,2025SU,P008,6,6,44.0,3.2,Part Time
T0000164,STU00050,2025FA,P008,15,15,59.0,3.36,Full Time
T0000165,STU00051,2024FA,P005,7,7,7.0,3.14,Part Time
T0000166,STU00051,2025SP,P005,12,12,19.0,3.05,Full Time
T0000167,STU00051,2025SU,P005,12,12,31.0,3.03,Full Time
T0000168,STU00052,2023SP,P002,7,6,6.0,3.0,Part Time
T0000169,STU00052,2023FA,P002,6,6,12.0,3.25,Part Time
T0000170,STU00052,2024SP,P002,9,9,21.0,3.29,Part Time
T0000171,STU00052,2024FA,P002,7,7,28.0,3.46,Part Time
T0000172,STU00053,2023FA,P006,10,7,7.0,1.5,Part Time
T0000173,STU00053,2024SP,P006,7,4,11.0,1.35,Part Time
T0000174,STU00053,2024FA,P006,9,3,14.0,1.23,Part Time
T0000175,STU00053,2025SP,P006,12,6,20.0,1.26,Full Time
T0000176,STU00053,2025FA,P006,10,4,24.0,1.38,Part Time
T0000177,STU00053,2026SP,P006,12,6,30.0,1.4,Full Time
T0000178,STU00054,2024SP,P002,7,4,4.0,1.86,Part Time
T0000179,STU00054,2024SU,P002,9,9,13.0,2.31,Part Time
T0000180,STU00054,2024FA,P002,9,9,22.0,2.68,Part Time
T0000181,STU00054,2025SP,P002,12,12,34.0,2.86,Full Time
T0000182,STU00055,2024FA,P006,7,7,7.0,3.29,Part Time
T0000183,STU00055,2025SP,P006,15,15,22.0,3.09,Full Time
T0000184,STU00055,2025FA,P006,7,3,25.0,2.9,Part Time
T0000185,STU00055,2026SP,P006,12,12,37.0,3.22,Full Time
T0000186,STU00056,2024FA,P008,7,6,6.0,3.14,Part Time
T0000187,STU00056,2025SP,P008,12,6,12.0,2.26,Full Time
T0000188,STU00057,2025FA,P007,7,7,7.0,3.0,Part Time
T0000189,STU00057,2026SP,P007,9,9,16.0,3.19,Part Time
T0000190,STU00058,2024FA,P003,7,4,4.0,2.14,Part Time
T0000191,STU00058,2025SP,P003,9,9,13.0,2.44,Part Time
T0000192,STU00058,2025FA,P003,9,9,22.0,2.76,Part Time
T0000193,STU00058,2026SP,P003,16,11,33.0,2.59,Full Time
T0000194,STU00059,2024SP,P001,10,10,10.0,2.6,Part Time
T0000195,STU00059,2024FA,P001,12,12,22.0,3.09,Full Time
T0000196,STU00059,2025SP,P001,9,9,31.0,3.06,Part Time
T0000197,STU00060,2025FA,P005,13,9,9.0,2.38,Full Time
T0000198,STU00060,2026SP,P005,9,9,18.0,2.77,Part Time
T0000199,STU00061,2025FA,P003,7,3,3.0,1.0,Part Time
T0000200,STU00062,2024SP,P007,10,7,7.0,2.14,Part Time
T0000201,STU00062,2024FA,P007,9,6,13.0,2.62,Part Time
T0000202,STU00062,2025SP,P007,9,9,22.0,2.64,Part Time
T0000203,STU00062,2025FA,P007,13,13,35.0,2.84,Full Time
T0000204,STU00062,2026SP,P007,12,12,47.0,2.94,Full Time
T0000205,STU00063,2024FA,P004,10,10,10.0,3.1,Part Time
T0000206,STU00063,2025SP,P004,9,9,19.0,2.89,Part Time
T0000207,STU00064,2024FA,P007,10,3,3.0,1.0,Part Time
T0000208,STU00065,2022FA,P002,10,10,10.0,3.1,Part Time
T0000209,STU00065,2023SP,P002,6,6,16.0,3.06,Part Time
T0000210,STU00065,2023FA,P002,6,3,19.0,3.05,Part Time
T0000211,STU00066,2023FA,P008,7,4,4.0,2.71,Part Time
T0000212,STU00066,2024SP,P008,15,12,16.0,2.64,Full Time
T0000213,STU00066,2024FA,P008,12,12,28.0,3.03,Full Time
T0000214,STU00066,2025SP,P008,6,6,34.0,3.02,Part Time
T0000215,STU00067,2022FA,P006,10,7,7.0,2.4,Part Time
T0000216,STU00067,2023SP,P006,12,12,19.0,3.27,Full Time
T0000217,STU00067,2023FA,P006,7,7,26.0,3.45,Part Time
T0000218,STU00067,2024SP,P006,16,16,42.0,3.51,Full Time
T0000219,STU00068,2025FA,P007,10,7,7.0,2.7,Part Time
T0000220,STU00068,2026SP,P007,9,9,16.0,3.0,Part Time
T0000221,STU00069,2022FA,P006,7,3,3.0,1.29,Part Time
T0000222,STU00069,2023SP,P006,16,9,12.0,1.48,Full Time
T0000223,STU00069,2023SU,P006,9,3,15.0,1.38,Part Time
T0000224,STU00070,2022FA,P008,10,10,10.0,4.0,Part Time
T0000225,STU00070,2023SP,P008,12,12,22.0,3.86,Full Time
T0000226,STU00070,2023FA,P008,12,12,34.0,3.82,Full Time
T0000227,STU00070,2024SP,P008,12,12,46.0,3.87,Full Time
T0000228,STU00070,2024FA,P008,15,15,61.0,3.9,Full Time
T0000229,STU00071,2023SP,P005,7,3,3.0,1.43,Part Time
T0000230,STU00072,2025FA,P007,10,10,10.0,3.7,Part Time
T0000231,STU00072,2026SP,P007,9,9,19.0,3.53,Part Time
T0000232,STU00073,2022FA,P005,7,4,4.0,3.0,Part Time
T0000233,STU00073,2023SP,P005,9,9,13.0,3.69,Part Time
T0000234,STU00073,2023FA,P005,9,3,16.0,3.32,Part Time
T0000235,STU00073,2024SP,P005,6,3,19.0,3.0,Part Time
T0000236,STU00073,2024FA,P005,12,12,31.0,2.89,Full Time
T0000237,STU00073,2025SP,P005,16,16,47.0,2.79,Full Time
T0000238,STU00073,2025FA,P005,9,9,56.0,2.77,Part Time
T0000239,STU00074,2022FA,P002,7,4,4.0,1.14,Part Time
T0000240,STU00075,2024SP,P008,13,12,12.0,3.54,Full Time
T0000241,STU00075,2024SU,P008,12,12,24.0,3.28,Full Time
T0000242,STU00076,2022FA,P005,10,10,10.0,4.0,Part Time
T0000243,STU00076,2023SP,P005,6,6,16.0,3.81,Part Time
T0000244,STU00076,2023FA,P005,9,9,25.0,3.64,Part Time
T0000245,STU00076,2024SP,P005,13,13,38.0,3.32,Full Time
T0000246,STU00077,2022FA,P008,7,7,7.0,3.0,Part Time
T0000247,STU00077,2023SP,P008,15,9,16.0,2.05,Full Time
T0000248,STU00078,2022FA,P006,7,7,7.0,2.57,Part Time
T0000249,STU00078,2023SP,P006,9,6,13.0,2.06,Part Time
T0000250,STU00079,2025FA,P002,13,13,13.0,3.23,Full Time
T0000251,STU00079,2026SP,P002,6,6,19.0,3.16,Part Time
T0000252,STU00080,2024FA,P005,7,4,4.0,1.14,Part Time
T0000253,STU00080,2025SP,P005,9,6,10.0,1.81,Part Time
T0000254,STU00081,2025FA,P003,7,3,3.0,1.43,Part Time
T0000255,STU00081,2026SP,P003,6,3,6.0,1.69,Part Time
T0000256,STU00082,2023FA,P001,7,7,7.0,2.71,Part Time
T0000257,STU00082,2024SP,P001,12,12,19.0,2.42,Full Time
T0000258,STU00082,2024FA,P001,9,3,22.0,2.07,Part Time
T0000259,STU00082,2025SP,P001,12,9,31.0,2.12,Full Time
T0000260,STU00082,2025FA,P001,9,9,40.0,2.35,Part Time
T0000261,STU00083,2024FA,P001,7,7,7.0,3.57,Part Time
T0000262,STU00083,2025SP,P001,12,12,19.0,3.53,Full Time
T0000263,STU00083,2025FA,P001,12,12,31.0,3.52,Full Time
T0000264,STU00084,2022FA,P006,10,10,10.0,2.8,Part Time
T0000265,STU00084,2023SP,P006,6,3,13.0,2.31,Part Time
T0000266,STU00084,2023SU,P006,9,9,22.0,2.32,Part Time
T0000267,STU00084,2023FA,P006,6,6,28.0,2.65,Part Time
T0000268,STU00084,2024SP,P006,7,7,35.0,2.68,Part Time
T0000269,STU00085,2023SP,P006,7,7,7.0,3.14,Part Time
T0000270,STU00085,2023FA,P006,12,12,19.0,3.05,Full Time
T0000271,STU00085,2024SP,P006,6,6,25.0,3.04,Part Time
T0000272,STU00086,2023SP,P005,7,7,7.0,4.0,Part Time
T0000273,STU00086,2023FA,P005,9,9,16.0,3.81,Part Time
T0000274,STU00086,2024SP,P005,6,6,22.0,3.86,Part Time
T0000275,STU00087,2024FA,P006,13,13,13.0,3.46,Full Time
T0000276,STU00087,2025SP,P006,12,9,22.0,3.24,Full Time
T0000277,STU00087,2025FA,P006,13,7,29.0,2.84,Full Time
T0000278,STU00087,2026SP,P006,17,17,46.0,3.13,Full Time
T0000279,STU00088,2024FA,P006,7,7,7.0,3.14,Part Time
T0000280,STU00088,2025SP,P006,15,15,22.0,3.73,Full Time
T0000281,STU00088,2025SU,P001,9,9,31.0,3.71,Part Time
T0000282,STU00088,2025FA,P001,15,15,46.0,3.8,Full Time
T0000283,STU00089,2023FA,P004,10,7,7.0,2.43,Part Time
T0000284,STU00089,2024SP,P004,12,6,13.0,2.0,Full Time
T0000285,STU00089,2024FA,P004,12,9,22.0,1.9,Full Time
T0000286,STU00089,2025SP,P004,9,9,31.0,2.15,Part Time
T0000287,STU00089,2025FA,P004,13,6,37.0,2.04,Full Time
T0000288,STU00090,2025FA,P008,10,10,10.0,2.4,Part Time
T0000289,STU00090,2026SP,P008,12,12,22.0,2.32,Full Time
T0000290,STU00091,2024FA,P008,13,13,13.0,3.85,Full Time
T0000291,STU00091,2025SP,P008,9,9,22.0,3.91,Part Time
T0000292,STU00092,2024FA,P002,7,3,3.0,1.86,Part Time
T0000293,STU00092,2025SP,P002,12,12,15.0,2.89,Full Time
T0000294,STU00092,2025FA,P002,9,9,24.0,3.04,Part Time
T0000295,STU00092,2026SP,P002,6,6,30.0,3.21,Part Time
T0000296,STU00093,2023SP,P001,7,7,7.0,2.14,Part Time
T0000297,STU00094,2022FA,P005,10,10,10.0,3.0,Part Time
T0000298,STU00094,2023SP,P005,15,15,25.0,2.76,Full Time
T0000299,STU00094,2023SU,P005,13,10,35.0,2.84,Full Time
T0000300,STU00095,2024FA,P005,7,7,7.0,3.43,Part Time
T0000301,STU00095,2025SP,P005,7,3,10.0,2.86,Part Time
T0000302,STU00095,2025FA,P005,12,9,19.0,2.69,Full Time
T0000303,STU00095,2026SP,P005,6,6,25.0,2.94,Part Time
T0000304,STU00096,2025SP,P006,13,13,13.0,3.23,Full Time
T0000305,STU00096,2025SU,P006,12,12,25.0,3.36,Full Time
T0000306,STU00096,2025FA,P006,15,15,40.0,3.15,Full Time
T0000307,STU00096,2026SP,P006,11,11,51.0,3.12,Part Time
T0000308,STU00097,2022FA,P007,10,7,7.0,1.5,Part Time
T0000309,STU00098,2024FA,P008,7,1,1.0,0.75,Part Time
T0000310,STU00099,2025FA,P002,7,4,4.0,2.57,Part Time
T0000311,STU00099,2026SP,P002,16,13,17.0,1.91,Full Time
T0000312,STU00100,2024FA,P008,7,3,3.0,1.0,Part Time
T0000313,STU00100,2025SP,P008,6,0,3.0,0.77,Part Time
T0000314,STU00101,2024FA,P006,10,3,3.0,1.3,Part Time
T0000315,STU00101,2025SP,P006,12,0,3.0,0.84,Full Time
T0000316,STU00101,2025FA,P006,16,3,6.0,0.78,Full Time
T0000317,STU00101,2026SP,P006,13,3,9.0,0.91,Full Time
T0000318,STU00102,2025FA,P004,10,3,3.0,1.43,Part Time
T0000319,STU00102,2026SP,P004,9,6,9.0,1.92,Part Time
T0000320,STU00103,2023SP,P006,7,7,7.0,3.57,Part Time
T0000321,STU00103,2023SU,P006,9,9,16.0,3.06,Part Time
T0000322,STU00103,2023FA,P006,12,12,28.0,3.25,Full Time
T0000323,STU00103,2024SP,P006,10,10,38.0,3.26,Part Time
T0000324,STU00103,2024SU,P006,13,13,51.0,3.25,Full Time
T0000325,STU00103,2024FA,P006,12,12,63.0,3.4,Full Time
T0000326,STU00104,2024FA,P003,7,4,4.0,1.57,Part Time
T0000327,STU00104,2025SP,P003,6,6,10.0,2.0,Part Time
T0000328,STU00105,2023FA,P004,7,7,7.0,3.86,Part Time
T0000329,STU00105,2024SP,P004,9,9,16.0,3.75,Part Time
T0000330,STU00105,2024FA,P004,12,12,28.0,3.64,Full Time
T0000331,STU00105,2025SP,P004,6,6,34.0,3.62,Part Time
T0000332,STU00106,2024SP,P002,13,3,3.0,1.3,Full Time
T0000333,STU00106,2024FA,P002,12,9,12.0,1.68,Full Time
T0000334,STU00106,2025SP,P002,12,9,21.0,1.88,Full Time
T0000335,STU00106,2025FA,P002,16,16,37.0,2.12,Full Time
T0000336,STU00106,2026SP,P002,17,13,50.0,2.1,Full Time
T0000337,STU00107,2025FA,P003,7,4,4.0,2.25,Part Time
T0000338,STU00107,2026SP,P003,12,9,13.0,2.44,Full Time
T0000339,STU00108,2025FA,P007,10,4,4.0,1.1,Part Time
T0000340,STU00108,2026SP,P007,12,9,13.0,1.86,Full Time
T0000341,STU00109,2022FA,P002,7,4,4.0,1.86,Part Time
T0000342,STU00110,2022FA,P003,10,10,10.0,2.9,Part Time
T0000343,STU00110,2023SP,P003,6,6,16.0,2.94,Part Time
T0000344,STU00110,2023FA,P003,6,6,22.0,3.09,Part Time
T0000345,STU00110,2024SP,P003,11,8,30.0,2.97,Part Time
T0000346,STU00111,2024FA,P003,7,3,3.0,1.43,Part Time
T0000347,STU00112,2023SP,P001,13,4,4.0,1.08,Full Time
T0000348,STU00112,2023FA,P001,12,3,7.0,1.16,Full Time
T0000349,STU00113,2025FA,P005,7,7,7.0,3.57,Part Time
T0000350,STU00113,2026SP,P005,9,9,16.0,3.81,Part Time
T0000351,STU00114,2022FA,P002,13,13,13.0,2.54,Full Time
T0000352,STU00114,2023SP,P002,13,9,22.0,2.58,Full Time
T0000353,STU00114,2023FA,P002,13,13,35.0,2.72,Full Time
T0000354,STU00114,2024SP,P002,12,12,47.0,2.96,Full Time
T0000355,STU00115,2025FA,P008,7,7,7.0,3.29,Part Time
T0000356,STU00115,2026SP,P008,9,3,10.0,2.19,Part Time
T0000357,STU00116,2023FA,P001,7,4,4.0,2.0,Part Time
T0000358,STU00116,2024SP,P001,6,6,10.0,2.23,Part Time
T0000359,STU00116,2024FA,P006,12,12,22.0,2.72,Full Time
T0000360,STU00116,2025SP,P006,10,10,32.0,2.69,Part Time
T0000361,STU00117,2023FA,P003,7,7,7.0,2.43,Part Time
T0000362,STU00117,2024SP,P003,6,3,10.0,2.46,Part Time
T0000363,STU00117,2024FA,P003,6,6,16.0,2.47,Part Time
T0000364,STU00117,2025SP,P003,10,6,22.0,2.38,Part Time
T0000365,STU00117,2025SU,P003,7,7,29.0,2.69,Part Time
T0000366,STU00117,2025FA,P003,15,15,44.0,2.94,Full Time
T0000367,STU00118,2025SP,P003,13,10,10.0,2.08,Full Time
T0000368,STU00118,2025FA,P003,6,6,16.0,2.21,Part Time
T0000369,STU00118,2026SP,P003,8,5,21.0,2.33,Part Time
T0000370,STU00119,2022FA,P001,13,10,10.0,2.62,Full Time
T0000371,STU00119,2023SP,P001,12,9,19.0,2.44,Full Time
T0000372,STU00119,2023FA,P001,15,15,34.0,2.73,Full Time
T0000373,STU00119,2024SP,P001,9,6,40.0,2.59,Part Time
T0000374,STU00119,2024FA,P001,12,9,49.0,2.57,Full Time
T0000375,STU00119,2025SP,P001,6,6,55.0,2.57,Part Time
T0000376,STU00120,2023FA,P002,10,4,4.0,1.5,Part Time
T0000377,STU00120,2024SP,P002,12,12,16.0,2.05,Full Time
T0000378,STU00121,2024SP,P002,7,7,7.0,2.43,Part Time
T0000379,STU00121,2024FA,P002,12,9,16.0,2.32,Full Time
T0000380,STU00121,2025SP,P003,12,8,24.0,2.29,Full Time
T0000381,STU00121,2025SU,P003,9,9,33.0,2.6,Part Time
T0000382,STU00121,2025FA,P003,8,0,33.0,2.33,Part Time
T0000383,STU00122,2022FA,P001,7,7,7.0,2.86,Part Time
T0000384,STU00122,2023SP,P001,6,6,13.0,3.15,Part Time
T0000385,STU00122,2023FA,P001,6,6,19.0,2.79,Part Time
T0000386,STU00123,2023SP,P008,10,7,7.0,1.8,Part Time
T0000387,STU00124,2024FA,P006,7,7,7.0,3.0,Part Time
T0000388,STU00124,2025SP,P006,9,9,16.0,3.38,Part Time
T0000389,STU00124,2025SU,P006,12,12,28.0,3.54,Full Time
T0000390,STU00124,2025FA,P006,10,10,38.0,3.66,Part Time
T0000391,STU00124,2026SP,P006,7,7,45.0,3.71,Part Time
T0000392,STU00125,2025FA,P008,13,7,7.0,1.62,Full Time
T0000393,STU00126,2024FA,P001,7,7,7.0,3.57,Part Time
T0000394,STU00126,2025SP,P001,15,15,22.0,3.73,Full Time
T0000395,STU00127,2022FA,P006,7,3,3.0,1.86,Part Time
T0000396,STU00127,2023SP,P006,12,9,12.0,2.74,Full Time
