enrollment_id,student_id,course_id,term_id,program_id,credits_attempted,final_grade,passed,course_completed,instruction_mode
E00000070,STU00006,C006,2025FA,P008,3,D,False,True,In Person
E00000071,STU00007,C001,2023FA,P006,1,C,True,True,Online
E00000072,STU00007,C002,2023FA,P006,3,A,True,True,Online
E00000073,STU00007,C005,2023FA,P006,3,A,True,True,Online
E00000074,STU00007,C003,2024SP,P006,3,B,True,True,Hybrid
E00000075,STU00007,C027,2024SP,P006,3,B,True,True,Online
E00000076,STU00007,C009,2024SP,P006,3,B,True,True,Hybrid
E00000077,STU00007,C006,2024SP,P006,3,B,True,True,Online
E00000078,STU00007,C011,2024FA,P006,3,A,True,True,Hybrid
E00000079,STU00007,C012,2024FA,P006,3,A,True,True,Online
E00000080,STU00007,C010,2024FA,P006,3,B,True,True,Online
E00000081,STU00007,C014,2025SP,P006,3,A,True,True,Online
E00000082,STU00007,C013,2025SP,P006,3,B,True,True,Online
E00000083,STU00007,C032,2025SP,P006,3,B,True,True,Hybrid
E00000084,STU00007,C019,2025SP,P006,4,A,True,True,Online
E00000085,STU00007,C020,2025FA,P006,4,B,True,True,Online
E00000086,STU00007,C036,2025FA,P006,3,C,True,True,Online
E00000087,STU00007,C028,2026SP,P006,3,A,True,True,Online
E00000088,STU00007,C029,2026SP,P006,3,A,True,True,In Person
E00000089,STU00007,C039,2026SP,P006,3,B,True,True,Hybrid
E00000090,STU00008,C001,2024FA,P006,1,D,False,True,Online
E00000091,STU00008,C002,2024FA,P006,3,C,True,True,Hybrid
E00000092,STU00008,C005,2024FA,P006,3,B,True,True,Online
E00000093,STU00008,C003,2025SP,P006,3,B,True,True,In Person
E00000094,STU00008,C011,2025SP,P006,3,C,True,True,In Person
E00000095,STU00009,C001,2025FA,P003,1,B,True,True,Hybrid
E00000096,STU00009,C002,2025FA,P003,3,B,True,True,Hybrid
E00000097,STU00009,C005,2025FA,P003,3,A,True,True,Hybrid
E00000098,STU00009,C023,2025FA,P003,4,C,True,True,Hybrid
E00000099,STU00009,C019,2025FA,P003,4,A,True,True,In Person
E00000100,STU00009,C006,2026SP,P003,3,A,True,True,In Person
E00000101,STU00009,C003,2026SP,P003,3,C,True,True,Hybrid
E00000102,STU00009,C009,2026SP,P003,3,B,True,True,Online
E00000103,STU00009,C014,2026SP,P003,3,B,True,True,Online
E00000104,STU00010,C001,2023FA,P003,1,A,True,True,In Person
E00000105,STU00010,C002,2023FA,P003,3,B,True,True,In Person
E00000106,STU00010,C005,2023FA,P003,3,B,True,True,Hybrid
E00000107,STU00010,C003,2024SP,P003,3,A,True,True,In Person
E00000108,STU00010,C009,2024SP,P003,3,A,True,True,In Person
E00000109,STU00010,C012,2024SP,P003,3,C,True,True,In Person
E00000110,STU00010,C019,2024SP,P003,4,B,True,True,In Person
E00000111,STU00010,C010,2024SU,P003,3,A,True,True,Hybrid
E00000112,STU00010,C011,2024SU,P003,3,A,True,True,In Person
E00000113,STU00010,C013,2024SU,P003,3,A,True,True,Hybrid
E00000114,STU00010,C006,2024SU,P003,3,A,True,True,In Person
E00000115,STU00011,C004,2022FA,P001,3,D,False,True,Hybrid
E00000116,STU00011,C001,2022FA,P001,1,A,True,True,Hybrid
E00000117,STU00011,C002,2022FA,P001,3,C,True,True,Hybrid
E00000118,STU00011,C003,2023SP,P001,3,C,True,True,Hybrid
E00000119,STU00011,C010,2023SP,P001,3,B,True,True,Hybrid
E00000120,STU00011,C016,2023SP,P001,3,C,True,True,In Person
E00000121,STU00011,C017,2023SU,P001,3,A,True,True,Hybrid
E00000122,STU00011,C012,2023SU,P001,3,A,True,True,Online
E00000123,STU00011,C014,2023SU,P001,3,D,False,True,Online
E00000124,STU00011,C006,2023SU,P001,3,D,False,True,Online
E00000125,STU00011,C011,2023FA,P001,3,C,True,True,Hybrid
E00000126,STU00011,C015,2023FA,P001,3,C,True,True,Online
E00000127,STU00011,C032,2023FA,P001,3,B,True,True,Online
E00000128,STU00012,C004,2024SP,P007,3,W,False,False,Hybrid
E00000129,STU00012,C001,2024SP,P007,1,D,False,True,Hybrid
E00000130,STU00012,C002,2024SP,P007,3,C,True,True,Hybrid
E00000131,STU00012,C015,2024SP,P007,3,D,False,True,Hybrid
E00000132,STU00012,C014,2024SP,P007,3,D,False,True,Online
E00000133,STU00013,C004,2025FA,P003,3,D,False,True,Hybrid
E00000134,STU00013,C001,2025FA,P003,1,F,False,True,In Person
E00000135,STU00013,C002,2025FA,P003,3,B,True,True,Hybrid
E00000136,STU00013,C003,2026SP,P003,3,F,False,True,Hybrid
E00000137,STU00013,C006,2026SP,P003,3,B,True,True,Online
E00000138,STU00013,C022,2026SP,P003,2,C,True,True,Online
E00000139,STU00014,C004,2025SP,P006,3,B,True,True,In Person
E00000140,STU00014,C001,2025SP,P006,1,A,True,True,In Person
E00000141,STU00014,C002,2025SP,P006,3,B,True,True,Hybrid
E00000142,STU00014,C005,2025FA,P006,3,B,True,True,In Person
E00000143,STU00014,C013,2025FA,P006,3,A,True,True,Hybrid
E00000144,STU00014,C003,2025FA,P006,3,A,True,True,In Person
E00000145,STU00014,C014,2025FA,P006,3,A,True,True,In Person
E00000146,STU00014,C032,2026SP,P006,3,A,True,True,Hybrid
E00000147,STU00014,C006,2026SP,P006,3,A,True,True,In Person
E00000148,STU00014,C019,2026SP,P006,4,B,True,True,In Person
E00000149,STU00015,C004,2024FA,P004,3,B,True,True,In Person
E00000150,STU00015,C001,2024FA,P004,1,B,True,True,Hybrid
E00000151,STU00015,C002,2024FA,P004,3,C,True,True,Online
E00000152,STU00015,C032,2024FA,P004,3,A,True,True,In Person
E00000153,STU00015,C005,2025SP,P004,3,B,True,True,In Person
E00000154,STU00015,C003,2025SP,P004,3,B,True,True,In Person
E00000155,STU00015,C006,2025SP,P004,3,W,False,False,Hybrid
E00000156,STU00015,C010,2025FA,P004,3,D,False,True,Online
E00000157,STU00015,C012,2025FA,P004,3,C,True,True,Online
E00000158,STU00015,C011,2025FA,P004,3,F,False,True,In Person
E00000159,STU00015,C013,2025FA,P004,3,D,False,True,In Person
E00000160,STU00015,C014,2025FA,P004,3,B,True,True,In Person
E00000161,STU00015,C018,2026SP,P001,3,C,True,True,In Person
E00000162,STU00015,C015,2026SP,P001,3,D,False,True,In Person
E00000163,STU00015,C016,2026SP,P001,3,B,True,True,In Person
E00000164,STU00015,C017,2026SP,P001,3,A,True,True,In Person
E00000165,STU00015,C029,2026SP,P001,3,C,True,True,Hybrid
E00000166,STU00016,C001,2023FA,P007,1,A,True,True,In Person
E00000167,STU00016,C002,2023FA,P007,3,A,True,True,In Person
E00000168,STU00016,C005,2023FA,P007,3,A,True,True,In Person
E00000169,STU00017,C001,2024FA,P004,1,A,True,True,In Person
E00000170,STU00017,C002,2024FA,P004,3,B,True,True,In Person
E00000171,STU00017,C005,2024FA,P004,3,B,True,True,Hybrid
E00000172,STU00017,C033,2024FA,P004,3,A,True,True,Hybrid
E00000173,STU00017,C014,2024FA,P004,3,A,True,True,In Person
E00000174,STU00017,C006,2025SP,P004,3,A,True,True,In Person
E00000175,STU00017,C009,2025SP,P004,3,C,True,True,Online
E00000176,STU00017,C012,2025SP,P004,3,B,True,True,Hybrid
E00000177,STU00017,C011,2025SP,P004,3,A,True,True,In Person
E00000178,STU00017,C003,2025SP,P004,3,A,True,True,In Person
E00000179,STU00018,C001,2023FA,P001,1,C,True,True,Hybrid
E00000180,STU00018,C002,2023FA,P001,3,C,True,True,Online
E00000181,STU00018,C005,2023FA,P001,3,C,True,True,Hybrid
E00000182,STU00018,C015,2024SP,P001,3,C,True,True,Online
E00000183,STU00018,C016,2024SP,P001,3,B,True,True,Online
E00000184,STU00018,C040,2024SP,P001,3,C,True,True,Online
E00000185,STU00018,C003,2024SP,P001,3,D,False,True,Hybrid
E00000186,STU00018,C013,2024FA,P001,3,C,True,True,Hybrid
E00000187,STU00018,C010,2024FA,P001,3,B,True,True,Hybrid
E00000188,STU00018,C006,2024FA,P001,3,C,True,True,Online
E00000189,STU00018,C018,2025SP,P001,3,C,True,True,Online
E00000190,STU00018,C032,2025SP,P001,3,A,True,True,Online
E00000191,STU00018,C017,2025SP,P001,3,B,True,True,Hybrid
E00000192,STU00018,C011,2025SP,P001,3,C,True,True,Online
E00000193,STU00018,C009,2025SP,P001,3,C,True,True,Online
E00000194,STU00019,C004,2025FA,P005,3,W,False,False,Hybrid
E00000195,STU00019,C001,2025FA,P005,1,D,False,True,In Person
E00000196,STU00019,C002,2025FA,P005,3,C,True,True,Hybrid
E00000197,STU00019,C024,2025FA,P005,4,W,False,False,Online
E00000198,STU00020,C001,2023FA,P001,1,A,True,True,Online
E00000199,STU00020,C002,2023FA,P001,3,C,True,True,Online
E00000200,STU00020,C005,2023FA,P001,3,B,True,True,In Person
E00000201,STU00020,C014,2024SP,P001,3,C,True,True,Online
E00000202,STU00020,C006,2024SP,P001,3,D,False,True,Online
E00000203,STU00020,C010,2024SP,P001,3,B,True,True,Online
E00000204,STU00020,C003,2024SP,P001,3,A,True,True,Online
E00000205,STU00020,C032,2024SU,P001,3,B,True,True,Online
E00000206,STU00020,C013,2024SU,P001,3,B,True,True,Hybrid
E00000207,STU00020,C011,2024SU,P001,3,B,True,True,Online
E00000208,STU00020,C009,2024SU,P001,3,A,True,True,Hybrid
E00000209,STU00021,C004,2023FA,P003,3,A,True,True,Hybrid
E00000210,STU00021,C001,2023FA,P003,1,B,True,True,Hybrid
E00000211,STU00021,C002,2023FA,P003,3,A,True,True,In Person
E00000212,STU00021,C022,2023FA,P003,2,C,True,True,Online
E00000213,STU00021,C011,2023FA,P003,3,A,True,True,In Person
E00000214,STU00021,C005,2024SP,P003,3,A,True,True,In Person
E00000215,STU00021,C023,2024SP,P003,4,A,True,True,In Person
E00000216,STU00021,C006,2024SP,P003,3,A,True,True,Hybrid
E00000217,STU00021,C009,2024FA,P003,3,A,True,True,Hybrid
E00000218,STU00021,C032,2024FA,P003,3,A,True,True,In Person
E00000219,STU00021,C014,2024FA,P003,3,A,True,True,In Person
E00000220,STU00021,C013,2024FA,P003,3,B,True,True,Online
E00000221,STU00022,C004,2025FA,P004,3,F,False,True,In Person
E00000222,STU00022,C001,2025FA,P004,1,D,False,True,In Person
E00000223,STU00022,C002,2025FA,P004,3,C,True,True,Hybrid
E00000224,STU00022,C014,2025FA,P004,3,C,True,True,Hybrid
E00000225,STU00022,C040,2025FA,P004,3,B,True,True,In Person
E00000226,STU00022,C003,2026SP,P004,3,B,True,True,In Person
E00000227,STU00022,C009,2026SP,P004,3,C,True,True,In Person
E00000228,STU00023,C001,2025FA,P001,1,C,True,True,Hybrid
E00000229,STU00023,C002,2025FA,P001,3,B,True,True,Online
E00000230,STU00023,C005,2025FA,P001,3,A,True,True,In Person
E00000231,STU00023,C013,2025FA,P001,3,C,True,True,Online
E00000232,STU00023,C015,2025FA,P001,3,C,True,True,Hybrid
E00000233,STU00023,C006,2026SP,P001,3,C,True,True,In Person
E00000234,STU00023,C009,2026SP,P001,3,A,True,True,In Person
E00000235,STU00023,C003,2026SP,P001,3,C,True,True,Hybrid
E00000236,STU00023,C017,2026SP,P001,3,C,True,True,In Person
E00000237,STU00024,C001,2025FA,P001,1,C,True,True,In Person
E00000238,STU00024,C002,2025FA,P001,3,D,False,True,In Person
E00000239,STU00024,C005,2025FA,P001,3,W,False,False,Hybrid
E00000240,STU00024,C011,2026SP,P001,3,D,False,True,Hybrid
E00000241,STU00024,C016,2026SP,P001,3,F,False,True,Hybrid
E00000242,STU00025,C004,2022FA,P003,3,A,True,True,Hybrid
E00000243,STU00025,C001,2022FA,P003,1,A,True,True,In Person
E00000244,STU00025,C002,2022FA,P003,3,A,True,True,In Person
E00000245,STU00025,C012,2022FA,P003,3,A,True,True,In Person
E00000246,STU00025,C005,2023SP,P003,3,A,True,True,In Person
E00000247,STU00025,C032,2023SP,P003,3,B,True,True,Hybrid
E00000248,STU00025,C014,2023FA,P003,3,A,True,True,In Person
E00000249,STU00025,C013,2023FA,P003,3,A,True,True,In Person
E00000250,STU00025,C010,2023FA,P003,3,A,True,True,Hybrid
E00000251,STU00025,C006,2023FA,P003,3,A,True,True,In Person
E00000252,STU00025,C023,2024SP,P003,4,B,True,True,In Person
E00000253,STU00025,C011,2024SP,P003,3,A,True,True,Online
E00000254,STU00025,C009,2024SP,P003,3,A,True,True,Hybrid
E00000255,STU00026,C004,2024FA,P002,3,C,True,True,Hybrid
E00000256,STU00026,C001,2024FA,P002,1,B,True,True,In Person
E00000257,STU00026,C002,2024FA,P002,3,D,False,True,Hybrid
E00000258,STU00026,C005,2025SP,P002,3,D,False,True,In Person
E00000259,STU00026,C039,2025SP,P002,3,B,True,True,Hybrid
E00000260,STU00026,C013,2025SP,P002,3,B,True,True,In Person
E00000261,STU00026,C010,2025FA,P002,3,C,True,True,In Person
E00000262,STU00026,C006,2025FA,P002,3,D,False,True,Hybrid
E00000263,STU00026,C014,2025FA,P002,3,B,True,True,Online
E00000264,STU00026,C032,2026SP,P002,3,B,True,True,Hybrid
E00000265,STU00026,C019,2026SP,P002,4,C,True,True,In Person
E00000266,STU00027,C001,2024FA,P005,1,C,True,True,In Person
E00000267,STU00027,C002,2024FA,P005,3,C,True,True,Online
E00000268,STU00027,C005,2024FA,P005,3,W,False,False,Hybrid
E00000269,STU00027,C006,2024FA,P005,3,C,True,True,In Person
E00000270,STU00027,C010,2025SP,P005,3,C,True,True,In Person
E00000271,STU00027,C003,2025SP,P005,3,C,True,True,In Person
E00000272,STU00027,C011,2025SP,P005,3,A,True,True,In Person
E00000273,STU00027,C032,2025SU,P005,3,B,True,True,Hybrid
E00000274,STU00027,C037,2025SU,P005,4,C,True,True,In Person
E00000275,STU00027,C014,2025FA,P005,3,D,False,True,In Person
E00000276,STU00027,C009,2025FA,P005,3,C,True,True,In Person
E00000277,STU00027,C013,2025FA,P005,3,C,True,True,In Person
E00000278,STU00027,C012,2026SP,P005,3,D,False,True,In Person
E00000279,STU00027,C026,2026SP,P005,4,W,False,False,Hybrid
E00000280,STU00027,C038,2026SP,P005,3,D,False,True,In Person
E00000281,STU00027,C035,2026SP,P005,3,F,False,True,In Person
E00000282,STU00028,C004,2023FA,P001,3,A,True,True,Hybrid
E00000283,STU00028,C001,2023FA,P001,1,A,True,True,Online
E00000284,STU00028,C002,2023FA,P001,3,B,True,True,Online
E00000285,STU00028,C005,2024SP,P001,3,B,True,True,Hybrid
E00000286,STU00028,C010,2024SP,P001,3,C,True,True,Online
E00000287,STU00028,C003,2024SP,P001,3,A,True,True,Hybrid
E00000288,STU00028,C011,2024SP,P001,3,A,True,True,Online
E00000289,STU00029,C001,2023SP,P007,1,A,True,True,In Person
E00000290,STU00029,C002,2023SP,P007,3,B,True,True,Online
E00000291,STU00029,C005,2023SP,P007,3,A,True,True,Hybrid
E00000292,STU00029,C011,2023FA,P007,3,A,True,True,Hybrid
E00000293,STU00029,C006,2023FA,P007,3,A,True,True,In Person
E00000294,STU00029,C015,2023FA,P007,3,D,False,True,In Person
E00000295,STU00029,C010,2023FA,P007,3,A,True,True,In Person
E00000296,STU00029,C013,2023FA,P007,3,B,True,True,In Person
E00000297,STU00029,C009,2024SP,P007,3,A,True,True,In Person
E00000298,STU00029,C012,2024SP,P007,3,A,True,True,In Person
E00000299,STU00029,C003,2024SP,P007,3,D,False,True,In Person
E00000300,STU00029,C032,2024SP,P007,3,A,True,True,In Person
E00000301,STU00029,C014,2024FA,P007,3,A,True,True,In Person
E00000302,STU00029,C019,2024FA,P007,4,B,True,True,Hybrid
E00000303,STU00029,C037,2024FA,P007,4,B,True,True,Online
E00000304,STU00029,C034,2024FA,P007,3,C,True,True,In Person
E00000305,STU00029,C040,2024FA,P007,3,A,True,True,In Person
E00000306,STU00030,C004,2025FA,P005,3,F,False,True,Hybrid
E00000307,STU00030,C001,2025FA,P005,1,D,False,True,Online
E00000308,STU00030,C002,2025FA,P005,3,D,False,True,Hybrid
E00000309,STU00030,C040,2025FA,P005,3,D,False,True,Hybrid
E00000310,STU00030,C010,2026SP,P005,3,B,True,True,Online
E00000311,STU00030,C009,2026SP,P005,3,C,True,True,Online
E00000312,STU00030,C006,2026SP,P005,3,D,False,True,Hybrid
E00000313,STU00031,C004,2024FA,P003,3,W,False,False,Hybrid
E00000314,STU00031,C001,2024FA,P003,1,W,False,False,In Person
E00000315,STU00031,C002,2024FA,P003,3,C,True,True,Hybrid
E00000316,STU00031,C003,2025SP,P003,3,D,False,True,Online
E00000317,STU00031,C009,2025SP,P003,3,D,False,True,In Person
E00000318,STU00031,C011,2025SU,P004,3,D,False,True,Hybrid
E00000319,STU00031,C006,2025SU,P004,3,B,True,True,Hybrid
E00000320,STU00031,C013,2025SU,P004,3,C,True,True,Hybrid
E00000321,STU00031,C010,2025FA,P004,3,F,False,True,Hybrid
E00000322,STU00031,C040,2025FA,P004,3,W,False,False,In Person
E00000323,STU00031,C014,2025FA,P004,3,D,False,True,Online
E00000324,STU00031,C032,2025FA,P004,3,D,False,True,In Person
E00000325,STU00031,C012,2025FA,P004,3,C,True,True,In Person
E00000326,STU00031,C037,2026SP,P004,4,C,True,True,Hybrid
E00000327,STU00031,C036,2026SP,P004,3,C,True,True,Online
E00000328,STU00031,C039,2026SP,P004,3,C,True,True,In Person
E00000329,STU00031,C038,2026SP,P004,3,B,True,True,Hybrid
E00000330,STU00032,C001,2025FA,P002,1,A,True,True,Online
E00000331,STU00032,C002,2025FA,P002,3,A,True,True,In Person
E00000332,STU00032,C005,2025FA,P002,3,B,True,True,In Person
E00000333,STU00032,C003,2026SP,P002,3,B,True,True,Hybrid
E00000334,STU00032,C006,2026SP,P002,3,B,True,True,In Person
E00000335,STU00032,C013,2026SP,P002,3,B,True,True,Hybrid
E00000336,STU00032,C011,2026SP,P002,3,A,True,True,In Person
E00000337,STU00032,C009,2026SP,P002,3,D,False,True,Hybrid
E00000338,STU00033,C001,2024FA,P006,1,A,True,True,In Person
E00000339,STU00033,C002,2024FA,P006,3,A,True,True,In Person
E00000340,STU00033,C005,2024FA,P006,3,A,True,True,In Person
E00000341,STU00033,C012,2024FA,P006,3,A,True,True,Hybrid
E00000342,STU00033,C003,2025SP,P006,3,A,True,True,Hybrid
E00000343,STU00033,C013,2025SP,P006,3,A,True,True,In Person
E00000344,STU00033,C038,2025SP,P006,3,B,True,True,In Person
E00000345,STU00033,C010,2025SP,P006,3,C,True,True,In Person
E00000346,STU00033,C014,2025SP,P006,3,B,True,True,Online
E00000347,STU00033,C011,2025SU,P006,3,B,True,True,In Person
E00000348,STU00033,C009,2025SU,P006,3,A,True,True,In Person
E00000349,STU00033,C029,2025SU,P006,3,A,True,True,In Person
E00000350,STU00033,C032,2025FA,P006,3,A,True,True,Hybrid
E00000351,STU00033,C006,2025FA,P006,3,B,True,True,Hybrid
E00000352,STU00033,C033,2025FA,P006,3,A,True,True,Hybrid
E00000353,STU00033,C019,2025FA,P006,4,A,True,True,Online
E00000354,STU00033,C027,2026SP,P006,3,B,True,True,In Person
E00000355,STU00033,C020,2026SP,P006,4,C,True,True,Online
E00000356,STU00033,C035,2026SP,P006,3,A,True,True,In Person
E00000357,STU00033,C039,2026SP,P006,3,A,True,True,Online
E00000358,STU00033,C036,2026SP,P006,3,A,True,True,Hybrid
E00000359,STU00034,C001,2024FA,P004,1,B,True,True,Online
E00000360,STU00034,C002,2024FA,P004,3,A,True,True,Online
E00000361,STU00034,C005,2024FA,P004,3,A,True,True,Hybrid
E00000362,STU00034,C012,2025SP,P004,3,C,True,True,In Person
E00000363,STU00034,C010,2025SP,P004,3,C,True,True,Hybrid
E00000364,STU00034,C032,2025SP,P004,3,B,True,True,Online
E00000365,STU00034,C011,2025SP,P004,3,C,True,True,In Person
E00000366,STU00034,C014,2025FA,P004,3,A,True,True,Hybrid
E00000367,STU00034,C013,2025FA,P004,3,B,True,True,Hybrid
E00000368,STU00034,C009,2025FA,P004,3,A,True,True,Hybrid
E00000369,STU00034,C003,2025FA,P004,3,B,True,True,Online
E00000370,STU00034,C006,2026SP,P004,3,A,True,True,Hybrid
E00000371,STU00034,C033,2026SP,P004,3,B,True,True,Online
E00000372,STU00034,C035,2026SP,P004,3,A,True,True,Online
E00000373,STU00035,C004,2024FA,P003,3,A,True,True,Online
E00000374,STU00035,C001,2024FA,P003,1,A,True,True,Online
E00000375,STU00035,C002,2024FA,P003,3,C,True,True,Online
E00000376,STU00035,C010,2024FA,P003,3,B,True,True,Online
E00000377,STU00035,C005,2025SP,P003,3,B,True,True,Online
E00000378,STU00035,C003,2025SP,P003,3,B,True,True,In Person
E00000379,STU00035,C006,2025SP,P003,3,A,True,True,Online
E00000380,STU00035,C014,2025SP,P003,3,B,True,True,Online
E00000381,STU00035,C032,2025FA,P003,3,B,True,True,In Person
E00000382,STU00035,C011,2025FA,P003,3,C,True,True,Online
E00000383,STU00035,C012,2025FA,P003,3,B,True,True,Hybrid
E00000384,STU00035,C013,2025FA,P003,3,B,True,True,Online
E00000385,STU00036,C001,2025SP,P002,1,B,True,True,Hybrid
E00000386,STU00036,C002,2025SP,P002,3,A,True,True,In Person
E00000387,STU00036,C005,2025SP,P002,3,B,True,True,In Person
E00000388,STU00036,C011,2025FA,P002,3,A,True,True,Hybrid
E00000389,STU00036,C006,2025FA,P002,3,A,True,True,In Person
E00000390,STU00036,C010,2025FA,P002,3,B,True,True,In Person
E00000391,STU00037,C004,2022FA,P008,3,D,False,True,Online
E00000392,STU00037,C001,2022FA,P008,1,F,False,True,Hybrid
E00000393,STU00037,C002,2022FA,P008,3,C,True,True,Hybrid
E00000394,STU00037,C013,2022FA,P008,3,A,True,True,Online
E00000395,STU00037,C016,2022FA,P008,3,A,True,True,Hybrid
E00000396,STU00037,C003,2023SP,P008,3,D,False,True,Online
E00000397,STU00037,C014,2023SP,P008,3,C,True,True,In Person
E00000398,STU00037,C010,2023SP,P008,3,W,False,False,Online
E00000399,STU00037,C009,2023SU,P008,3,C,True,True,Hybrid
E00000400,STU00037,C006,2023SU,P008,3,B,True,True,Online
E00000401,STU00037,C012,2023SU,P008,3,C,True,True,In Person
E00000402,STU00037,C011,2023SU,P008,3,B,True,True,Online
E00000403,STU00037,C032,2023FA,P008,3,B,True,True,Hybrid
E00000404,STU00037,C015,2023FA,P008,3,B,True,True,Hybrid
E00000405,STU00037,C037,2023FA,P008,4,C,True,True,In Person
E00000406,STU00037,C033,2023FA,P008,3,C,True,True,Hybrid
E00000407,STU00037,C038,2024SP,P008,3,B,True,True,Online
E00000408,STU00037,C034,2024SP,P008,3,A,True,True,Hybrid
E00000409,STU00037,C040,2024SP,P008,3,B,True,True,Online
E00000410,STU00037,C036,2024FA,P008,3,B,True,True,Hybrid
E00000411,STU00037,C039,2024FA,P008,3,C,True,True,Hybrid
E00000412,STU00037,C035,2024FA,P008,3,W,False,False,Hybrid
E00000413,STU00038,C004,2024FA,P004,3,B,True,True,Hybrid
E00000414,STU00038,C001,2024FA,P004,1,B,True,True,Online
E00000415,STU00038,C002,2024FA,P004,3,A,True,True,In Person
E00000416,STU00038,C005,2025SP,P004,3,A,True,True,Hybrid
