service_use_id,student_id,service_id,term_id,minutes,visit_reason
U0000108,STU00040,S001,2026SP,26,Academic planning
U0000109,STU00040,S001,2026SP,29,Academic planning
U0000110,STU00041,S001,2023FA,37,Academic planning
U0000111,STU00042,S001,2023FA,31,Academic planning
U0000112,STU00042,S002,2023FA,51,Tutoring related to C006
U0000113,STU00042,S001,2024SP,30,Academic planning
U0000114,STU00042,S002,2024FA,70,Tutoring related to C019
U0000115,STU00042,S002,2024FA,37,Tutoring related to C029
U0000116,STU00043,S003,2023FA,28,Transfer planning
U0000117,STU00044,S003,2023FA,27,Transfer planning
U0000118,STU00044,S001,2025SP,46,Academic planning
U0000119,STU00045,S001,2025FA,40,Academic planning
U0000120,STU00045,S001,2025FA,48,Academic planning
U0000121,STU00045,S003,2025FA,47,Transfer planning
U0000122,STU00045,S001,2026SP,58,Academic planning
U0000123,STU00046,S001,2024SP,37,Academic planning
U0000124,STU00046,S002,2024SU,37,Tutoring related to C005
U0000125,STU00046,S001,2024FA,35,Academic planning
U0000126,STU00046,S001,2025SP,25,Academic planning
U0000127,STU00047,S001,2022FA,45,Academic planning
U0000128,STU00047,S001,2023FA,36,Academic planning
U0000129,STU00047,S001,2024SU,32,Academic planning
U0000130,STU00047,S001,2024SU,31,Academic planning
U0000131,STU00047,S003,2024SU,29,Transfer planning
U0000132,STU00048,S001,2023FA,26,Academic planning
U0000133,STU00048,S003,2023FA,35,Transfer planning
U0000134,STU00048,S001,2024SP,23,Academic planning
U0000135,STU00048,S002,2024SP,89,Tutoring related to C006
U0000136,STU00049,S001,2024FA,50,Academic planning
U0000137,STU00050,S001,2024FA,29,Academic planning
U0000138,STU00050,S002,2024FA,76,Tutoring related to C019
U0000139,STU00050,S001,2025FA,22,Academic planning
U0000140,STU00050,S001,2025FA,27,Academic planning
U0000141,STU00050,S003,2025FA,40,Transfer planning
U0000142,STU00051,S001,2024FA,48,Academic planning
U0000143,STU00051,S001,2024FA,57,Academic planning
U0000144,STU00051,S002,2025SP,71,Tutoring related to C005
U0000145,STU00052,S001,2023SP,21,Academic planning
U0000146,STU00052,S001,2023FA,28,Academic planning
U0000147,STU00052,S001,2024FA,52,Academic planning
U0000148,STU00052,S001,2024FA,45,Academic planning
U0000149,STU00052,S003,2024FA,46,Transfer planning
U0000150,STU00053,S002,2024SP,65,Tutoring related to C019
U0000151,STU00053,S001,2025FA,25,Academic planning
U0000152,STU00053,S002,2025FA,90,Tutoring related to C020
U0000153,STU00053,S001,2026SP,28,Academic planning
U0000154,STU00053,S001,2026SP,40,Academic planning
U0000155,STU00053,S002,2026SP,41,Tutoring related to C029
U0000156,STU00054,S001,2024SP,33,Academic planning
U0000157,STU00054,S003,2024SP,39,Transfer planning
U0000158,STU00054,S002,2024SP,72,Tutoring related to C005
U0000159,STU00054,S001,2024FA,28,Academic planning
U0000160,STU00054,S001,2024FA,20,Academic planning
U0000161,STU00054,S001,2025SP,42,Academic planning
U0000162,STU00054,S001,2025SP,25,Academic planning
U0000163,STU00054,S003,2025SP,40,Transfer planning
U0000164,STU00055,S005,2024FA,24,Emergency aid consultation
U0000165,STU00055,S001,2025SP,45,Academic planning
U0000166,STU00055,S001,2025SP,37,Academic planning
U0000167,STU00055,S001,2026SP,21,Academic planning
U0000168,STU00055,S002,2026SP,89,Tutoring related to C006
U0000169,STU00057,S001,2026SP,54,Academic planning
U0000170,STU00058,S001,2024FA,30,Academic planning
U0000171,STU00058,S001,2025SP,33,Academic planning
U0000172,STU00058,S002,2025SP,52,Tutoring related to C006
U0000173,STU00058,S002,2026SP,41,Tutoring related to C023
U0000174,STU00058,S002,2026SP,39,Tutoring related to C019
U0000175,STU00059,S001,2024SP,25,Academic planning
U0000176,STU00059,S002,2024SP,72,Tutoring related to C017
U0000177,STU00059,S001,2024FA,51,Academic planning
U0000178,STU00059,S001,2025SP,59,Academic planning
U0000179,STU00060,S005,2025FA,31,Emergency aid consultation
U0000180,STU00060,S002,2025FA,69,Tutoring related to C005
U0000181,STU00060,S001,2026SP,33,Academic planning
U0000182,STU00061,S003,2025FA,50,Transfer planning
U0000183,STU00062,S001,2024FA,33,Academic planning
U0000184,STU00062,S001,2024FA,31,Academic planning
U0000185,STU00062,S003,2024FA,45,Transfer planning
U0000186,STU00062,S002,2024FA,40,Tutoring related to C006
U0000187,STU00062,S001,2025SP,38,Academic planning
U0000188,STU00062,S001,2025SP,33,Academic planning
U0000189,STU00062,S002,2025FA,49,Tutoring related to C019
U0000190,STU00062,S003,2026SP,52,Transfer planning
U0000191,STU00062,S002,2026SP,80,Tutoring related to C031
U0000192,STU00063,S001,2025SP,20,Academic planning
U0000193,STU00063,S001,2025SP,21,Academic planning
U0000194,STU00065,S002,2022FA,65,Tutoring related to C005
U0000195,STU00065,S001,2023SP,48,Academic planning
U0000196,STU00065,S002,2023SP,52,Tutoring related to C029
U0000197,STU00065,S001,2023FA,23,Academic planning
U0000198,STU00066,S001,2023FA,26,Academic planning
U0000199,STU00066,S002,2023FA,88,Tutoring related to C005
U0000200,STU00066,S001,2024FA,26,Academic planning
U0000201,STU00066,S001,2024FA,58,Academic planning
U0000202,STU00066,S003,2025SP,41,Transfer planning
U0000203,STU00067,S001,2023SP,36,Academic planning
U0000204,STU00067,S001,2023SP,22,Academic planning
U0000205,STU00067,S002,2023SP,60,Tutoring related to C006
U0000206,STU00067,S001,2023FA,22,Academic planning
U0000207,STU00067,S001,2024SP,39,Academic planning
U0000208,STU00067,S002,2024SP,69,Tutoring related to C020
U0000209,STU00068,S001,2026SP,47,Academic planning
U0000210,STU00068,S002,2026SP,51,Tutoring related to C006
U0000211,STU00069,S002,2022FA,63,Tutoring related to C005
U0000212,STU00070,S001,2023FA,42,Academic planning
U0000213,STU00070,S001,2024FA,35,Academic planning
U0000214,STU00070,S001,2024FA,52,Academic planning
U0000215,STU00070,S001,2024FA,22,Academic planning
U0000216,STU00070,S003,2024FA,26,Transfer planning
U0000217,STU00072,S001,2025FA,22,Academic planning
U0000218,STU00072,S001,2025FA,41,Academic planning
U0000219,STU00072,S002,2026SP,70,Tutoring related to C006
U0000220,STU00073,S002,2022FA,46,Tutoring related to C005
U0000221,STU00073,S001,2023SP,47,Academic planning
U0000222,STU00073,S002,2024SP,87,Tutoring related to C006
U0000223,STU00073,S002,2024FA,45,Tutoring related to C024
U0000224,STU00073,S001,2025SP,35,Academic planning
U0000225,STU00075,S001,2024SP,56,Academic planning
U0000226,STU00075,S001,2024SU,51,Academic planning
U0000227,STU00075,S002,2024SU,64,Tutoring related to C006
U0000228,STU00077,S001,2023SP,39,Academic planning
U0000229,STU00078,S002,2022FA,41,Tutoring related to C005
U0000230,STU00079,S001,2026SP,22,Academic planning
U0000231,STU00079,S002,2026SP,56,Tutoring related to C005
U0000232,STU00080,S001,2024FA,55,Academic planning
U0000233,STU00081,S002,2025FA,86,Tutoring related to C005
U0000234,STU00082,S003,2025SP,52,Transfer planning
U0000235,STU00082,S005,2025SP,45,Emergency aid consultation
U0000236,STU00082,S002,2025SP,72,Tutoring related to C018
U0000237,STU00082,S001,2025FA,56,Academic planning
U0000238,STU00082,S001,2025FA,32,Academic planning
U0000239,STU00082,S002,2025FA,43,Tutoring related to C006
U0000240,STU00083,S001,2024FA,45,Academic planning
U0000241,STU00083,S001,2024FA,46,Academic planning
U0000242,STU00083,S003,2025FA,57,Transfer planning
U0000243,STU00084,S002,2023SP,87,Tutoring related to C005
U0000244,STU00084,S001,2023FA,54,Academic planning
U0000245,STU00084,S001,2024SP,26,Academic planning
U0000246,STU00086,S002,2023SP,52,Tutoring related to C005
U0000247,STU00086,S001,2023FA,29,Academic planning
U0000248,STU00086,S002,2024SP,72,Tutoring related to C006
U0000249,STU00087,S005,2025FA,29,Emergency aid consultation
U0000250,STU00087,S001,2026SP,22,Academic planning
U0000251,STU00087,S001,2026SP,29,Academic planning
U0000252,STU00087,S002,2026SP,71,Tutoring related to C027
U0000253,STU00088,S001,2024FA,31,Academic planning
U0000254,STU00088,S001,2024FA,52,Academic planning
U0000255,STU00088,S002,2025SP,67,Tutoring related to C005
U0000256,STU00088,S001,2025SU,21,Academic planning
U0000257,STU00088,S001,2025SU,26,Academic planning
U0000258,STU00088,S001,2025SU,21,Academic planning
U0000259,STU00088,S001,2025FA,24,Academic planning
U0000260,STU00088,S003,2025FA,42,Transfer planning
U0000261,STU00089,S001,2024SP,24,Academic planning
U0000262,STU00089,S002,2024SP,65,Tutoring related to C006
U0000263,STU00089,S001,2024FA,53,Academic planning
U0000264,STU00089,S003,2024FA,33,Transfer planning
U0000265,STU00089,S001,2025FA,35,Academic planning
U0000266,STU00090,S001,2025FA,33,Academic planning
U0000267,STU00090,S001,2026SP,53,Academic planning
U0000268,STU00090,S001,2026SP,27,Academic planning
U0000269,STU00091,S001,2024FA,23,Academic planning
U0000270,STU00091,S001,2024FA,23,Academic planning
U0000271,STU00091,S001,2025SP,29,Academic planning
U0000272,STU00091,S001,2025SP,40,Academic planning
U0000273,STU00091,S003,2025SP,33,Transfer planning
U0000274,STU00092,S001,2024FA,52,Academic planning
U0000275,STU00092,S001,2025SP,46,Academic planning
U0000276,STU00092,S001,2025SP,36,Academic planning
U0000277,STU00092,S001,2025SP,57,Academic planning
U0000278,STU00092,S002,2025FA,38,Tutoring related to C006
U0000279,STU00092,S001,2026SP,29,Academic planning
U0000280,STU00092,S003,2026SP,59,Transfer planning
U0000281,STU00095,S001,2024FA,58,Academic planning
U0000282,STU00095,S002,2025SP,90,Tutoring related to C024
U0000283,STU00095,S001,2025FA,43,Academic planning
U0000284,STU00095,S002,2025FA,60,Tutoring related to C006
U0000285,STU00096,S001,2025SP,25,Academic planning
U0000286,STU00096,S002,2025SU,59,Tutoring related to C006
U0000287,STU00096,S002,2025FA,59,Tutoring related to C027
U0000288,STU00096,S001,2026SP,51,Academic planning
U0000289,STU00096,S001,2026SP,49,Academic planning
U0000290,STU00096,S002,2026SP,73,Tutoring related to C019
U0000291,STU00097,S001,2022FA,58,Academic planning
U0000292,STU00097,S001,2022FA,24,Academic planning
U0000293,STU00097,S003,2022FA,28,Transfer planning
U0000294,STU00098,S001,2024FA,52,Academic planning
U0000295,STU00098,S001,2024FA,53,Academic planning
U0000296,STU00100,S001,2024FA,32,Academic planning
U0000297,STU00100,S001,2024FA,37,Academic planning
U0000298,STU00100,S003,2024FA,59,Transfer planning
U0000299,STU00101,S001,2024FA,44,Academic planning
U0000300,STU00101,S001,2025FA,52,Academic planning
U0000301,STU00102,S001,2025FA,37,Academic planning
U0000302,STU00102,S003,2025FA,53,Transfer planning
U0000303,STU00102,S001,2026SP,23,Academic planning
U0000304,STU00103,S001,2023SP,22,Academic planning
U0000305,STU00103,S001,2023SU,41,Academic planning
U0000306,STU00103,S002,2023SU,78,Tutoring related to C005
U0000307,STU00103,S001,2023FA,47,Academic planning
U0000308,STU00103,S001,2023FA,30,Academic planning
U0000309,STU00103,S001,2023FA,36,Academic planning
U0000310,STU00103,S005,2023FA,34,Emergency aid consultation
U0000311,STU00103,S002,2024FA,32,Tutoring related to C029
U0000312,STU00103,S002,2024FA,83,Tutoring related to C027
U0000313,STU00104,S001,2024FA,29,Academic planning
U0000314,STU00105,S002,2023FA,30,Tutoring related to C005
U0000315,STU00106,S001,2024SP,35,Academic planning
U0000316,STU00106,S001,2024FA,30,Academic planning
U0000317,STU00106,S001,2024FA,53,Academic planning
U0000318,STU00106,S001,2024FA,20,Academic planning
U0000319,STU00106,S001,2024FA,42,Academic planning
U0000320,STU00106,S003,2025SP,38,Transfer planning
U0000321,STU00106,S002,2025FA,43,Tutoring related to C029
U0000322,STU00106,S002,2026SP,37,Tutoring related to C020
U0000323,STU00107,S001,2025FA,25,Academic planning
U0000324,STU00108,S001,2026SP,45,Academic planning
U0000325,STU00108,S001,2026SP,60,Academic planning
U0000326,STU00109,S003,2022FA,36,Transfer planning
U0000327,STU00110,S001,2022FA,48,Academic planning
U0000328,STU00110,S002,2022FA,80,Tutoring related to C005
U0000329,STU00110,S001,2023FA,50,Academic planning
U0000330,STU00110,S003,2023FA,29,Transfer planning
U0000331,STU00111,S001,2024FA,55,Academic planning
U0000332,STU00113,S001,2025FA,39,Academic planning
U0000333,STU00113,S001,2026SP,44,Academic planning
U0000334,STU00114,S002,2023SP,46,Tutoring related to C005
U0000335,STU00115,S003,2026SP,58,Transfer planning
U0000336,STU00115,S002,2026SP,74,Tutoring related to C005
U0000337,STU00116,S002,2024FA,85,Tutoring related to C006
U0000338,STU00116,S001,2025SP,28,Academic planning
U0000339,STU00116,S002,2025SP,43,Tutoring related to C019
U0000340,STU00117,S002,2023FA,89,Tutoring related to C005
U0000341,STU00117,S001,2025SU,48,Academic planning
U0000342,STU00117,S001,2025SU,46,Academic planning
U0000343,STU00117,S002,2025SU,66,Tutoring related to C019
U0000344,STU00117,S001,2025FA,39,Academic planning
U0000345,STU00118,S002,2025SP,73,Tutoring related to C005
U0000346,STU00119,S001,2022FA,46,Academic planning
U0000347,STU00119,S002,2023SP,37,Tutoring related to C006
U0000348,STU00119,S003,2024FA,57,Transfer planning
U0000349,STU00119,S001,2025SP,37,Academic planning
U0000350,STU00120,S001,2024SP,35,Academic planning
U0000351,STU00121,S005,2024SP,44,Emergency aid consultation
U0000352,STU00121,S001,2024FA,54,Academic planning
U0000353,STU00121,S002,2024FA,38,Tutoring related to C006
U0000354,STU00121,S001,2025SP,25,Academic planning
U0000355,STU00121,S002,2025SP,85,Tutoring related to C019
U0000356,STU00121,S003,2025SU,35,Transfer planning
U0000357,STU00121,S003,2025FA,47,Transfer planning
U0000358,STU00122,S001,2023SP,27,Academic planning
U0000359,STU00122,S002,2023SP,63,Tutoring related to C005
U0000360,STU00122,S003,2023FA,53,Transfer planning
U0000361,STU00123,S001,2023SP,39,Academic planning
U0000362,STU00124,S001,2025SP,53,Academic planning
U0000363,STU00124,S001,2025SP,45,Academic planning
U0000364,STU00124,S001,2025SP,51,Academic planning
U0000365,STU00124,S002,2025SP,88,Tutoring related to C006
U0000366,STU00124,S001,2025SU,33,Academic planning
U0000367,STU00124,S001,2025SU,57,Academic planning
U0000368,STU00124,S001,2025SU,54,Academic planning
U0000369,STU00125,S001,2025FA,49,Academic planning
U0000370,STU00126,S001,2024FA,47,Academic planning
U0000371,STU00127,S005,2022FA,26,Emergency aid consultation
U0000372,STU00127,S001,2023SP,46,Academic planning
U0000373,STU00127,S001,2023SP,23,Academic planning
U0000374,STU00127,S002,2023SP,35,Tutoring related to C006
U0000375,STU00127,S001,2023FA,25,Academic planning
U0000376,STU00127,S001,2024SP,27,Academic planning
U0000377,STU00127,S001,2024SP,22,Academic planning
U0000378,STU00127,S002,2024SP,86,Tutoring related to C029
U0000379,STU00127,S002,2024SU,73,Tutoring related to C020
U0000380,STU00128,S001,2026SP,38,Academic planning
U0000381,STU00128,S001,2026SP,50,Academic planning
U0000382,STU00128,S002,2026SP,83,Tutoring related to C018
U0000383,STU00129,S001,2025FA,32,Academic planning
U0000384,STU00129,S001,2025FA,51,Academic planning
U0000385,STU00129,S001,2026SP,21,Academic planning
U0000386,STU00130,S002,2024SP,83,Tutoring related to C005
U0000387,STU00131,S001,2023FA,53,Academic planning
U0000388,STU00131,S003,2023FA,42,Transfer planning
U0000389,STU00131,S002,2023FA,52,Tutoring related to C005
U0000390,STU00131,S001,2024SP,49,Academic planning
U0000391,STU00132,S001,2024FA,25,Academic planning
U0000392,STU00132,S001,2025SP,30,Academic planning
U0000393,STU00132,S001,2025SP,36,Academic planning
U0000394,STU00132,S002,2025SP,79,Tutoring related to C006
U0000395,STU00132,S001,2025FA,52,Academic planning
U0000396,STU00132,S001,2026SP,35,Academic planning
U0000397,STU00133,S001,2023FA,41,Academic planning
U0000398,STU00133,S005,2023FA,44,Emergency aid consultation
U0000399,STU00134,S005,2023FA,35,Emergency aid consultation
U0000400,STU00134,S001,2024FA,47,Academic planning
U0000401,STU00134,S005,2024FA,17,Emergency aid consultation
U0000402,STU00134,S001,2025SP,43,Academic planning
U0000403,STU00134,S001,2025SP,23,Academic planning
U0000404,STU00134,S001,2025SP,26,Academic planning
U0000405,STU00134,S001,2025SP,42,Academic planning
U0000406,STU00134,S003,2025SP,54,Transfer planning
U0000407,STU00134,S002,2025SP,54,Tutoring related to C019
U0000408,STU00135,S001,2025SP,54,Academic planning
U0000409,STU00135,S001,2026SP,30,Academic planning
U0000410,STU00137,S001,2023SP,32,Academic planning
U0000411,STU00137,S001,2023FA,43,Academic planning
U0000412,STU00137,S001,2023FA,36,Academic planning
U0000413,STU00137,S002,2023FA,31,Tutoring related to C006
U0000414,STU00137,S002,2023FA,57,Tutoring related to C029
U0000415,STU00137,S001,2024SP,45,Academic planning
U0000416,STU00137,S001,2024SP,54,Academic planning
U0000417,STU00138,S001,2024SP,34,Academic planning
U0000418,STU00138,S001,2024FA,28,Academic planning
U0000419,STU00138,S001,2024FA,32,Academic planning
U0000420,STU00138,S001,2024FA,33,Academic planning
U0000421,STU00138,S003,2024FA,59,Transfer planning
U0000422,STU00139,S001,2025SP,20,Academic planning
U0000423,STU00139,S001,2025FA,52,Academic planning
U0000424,STU00139,S003,2025FA,25,Transfer planning
U0000425,STU00140,S002,2023SU,30,Tutoring related to C006
U0000426,STU00140,S002,2023SU,32,Tutoring related to C019
U0000427,STU00140,S001,2024SU,37,Academic planning
U0000428,STU00140,S003,2024SU,51,Transfer planning
U0000429,STU00141,S001,2025SP,34,Academic planning
U0000430,STU00141,S001,2025SU,25,Academic planning
U0000431,STU00141,S002,2025SU,33,Tutoring related to C024
U0000432,STU00141,S002,2025SU,38,Tutoring related to C026
U0000433,STU00141,S001,2025FA,39,Academic planning
U0000434,STU00141,S002,2025FA,78,Tutoring related to C025
U0000435,STU00142,S001,2024FA,39,Academic planning
U0000436,STU00143,S002,2024SP,55,Tutoring related to C005
U0000437,STU00143,S001,2025SP,38,Academic planning
U0000438,STU00143,S003,2025SP,55,Transfer planning
U0000439,STU00144,S001,2024SP,47,Academic planning
U0000440,STU00144,S002,2024FA,84,Tutoring related to C017
U0000441,STU00145,S001,2024FA,30,Academic planning
U0000442,STU00145,S001,2025SP,48,Academic planning
U0000443,STU00145,S003,2025SP,60,Transfer planning
U0000444,STU00146,S001,2026SP,51,Academic planning
U0000445,STU00146,S001,2026SP,56,Academic planning
U0000446,STU00147,S002,2022FA,81,Tutoring related to C005
U0000447,STU00147,S001,2023SP,52,Academic planning
U0000448,STU00147,S001,2023SP,22,Academic planning
U0000449,STU00147,S001,2023FA,58,Academic planning
U0000450,STU00147,S002,2023FA,76,Tutoring related to C006
U0000451,STU00148,S001,2023FA,42,Academic planning
U0000452,STU00148,S002,2023FA,85,Tutoring related to C005
U0000453,STU00148,S003,2024SP,60,Transfer planning
U0000454,STU00148,S001,2024FA,55,Academic planning
U0000455,STU00148,S001,2024FA,49,Academic planning
U0000456,STU00149,S001,2024FA,38,Academic planning
U0000457,STU00149,S001,2025SP,37,Academic planning
U0000458,STU00149,S002,2025SP,54,Tutoring related to C024
U0000459,STU00150,S001,2024FA,44,Academic planning
U0000460,STU00150,S001,2024FA,54,Academic planning
U0000461,STU00150,S001,2025SP,32,Academic planning
U0000462,STU00150,S001,2025SP,51,Academic planning
U0000463,STU00150,S003,2025SP,60,Transfer planning
U0000464,STU00150,S002,2026SP,68,Tutoring related to C018
U0000465,STU00151,S002,2024FA,70,Tutoring related to C005
U0000466,STU00152,S001,2025SP,30,Academic planning
U0000467,STU00152,S003,2025SP,26,Transfer planning
U0000468,STU00153,S005,2025FA,32,Emergency aid consultation
U0000469,STU00153,S001,2026SP,41,Academic planning
U0000470,STU00153,S003,2026SP,38,Transfer planning
U0000471,STU00153,S002,2026SP,48,Tutoring related to C007
U0000472,STU00154,S005,2025SP,16,Emergency aid consultation
U0000473,STU00155,S002,2025FA,34,Tutoring related to C005
U0000474,STU00155,S001,2026SP,54,Academic planning
U0000475,STU00156,S001,2025FA,47,Academic planning
U0000476,STU00157,S002,2024SP,45,Tutoring related to C005
U0000477,STU00158,S005,2024FA,25,Emergency aid consultation
U0000478,STU00158,S002,2024FA,44,Tutoring related to C005
U0000479,STU00158,S001,2025SP,54,Academic planning
U0000480,STU00158,S005,2025SP,16,Emergency aid consultation
U0000481,STU00159,S001,2024SP,53,Academic planning
U0000482,STU00159,S002,2024SP,56,Tutoring related to C005
U0000483,STU00159,S002,2024SP,54,Tutoring related to C006
U0000484,STU00159,S001,2024FA,43,Academic planning
U0000485,STU00159,S002,2025SP,83,Tutoring related to C019
U0000486,STU00159,S002,2025SU,79,Tutoring related to C020
U0000487,STU00159,S001,2025FA,54,Academic planning
U0000488,STU00159,S001,2025FA,35,Academic planning
U0000489,STU00160,S001,2023SP,35,Academic planning
U0000490,STU00160,S001,2023SU,38,Academic planning
U0000491,STU00160,S001,2023SU,31,Academic planning
U0000492,STU00161,S001,2024SP,40,Academic planning
U0000493,STU00162,S002,2023SP,46,Tutoring related to C006
U0000494,STU00163,S005,2022FA,30,Emergency aid consultation
U0000495,STU00163,S002,2023SP,64,Tutoring related to C005
U0000496,STU00163,S001,2023FA,60,Academic planning
U0000497,STU00163,S001,2024FA,41,Academic planning
U0000498,STU00163,S002,2025FA,78,Tutoring related to C025
U0000499,STU00165,S001,2025FA,31,Academic planning
U0000500,STU00165,S001,2025FA,27,Academic planning
U0000501,STU00165,S003,2025FA,32,Transfer planning
U0000502,STU00165,S002,2025FA,38,Tutoring related to C005
U0000503,STU00167,S001,2024FA,26,Academic planning
U0000504,STU00167,S001,2024FA,54,Academic planning
U0000505,STU00167,S002,2025SP,49,Tutoring related to C005
U0000506,STU00167,S001,2025FA,58,Academic planning
U0000507,STU00167,S001,2026SP,37,Academic planning
U0000508,STU00167,S002,2026SP,46,Tutoring related to C019
U0000509,STU00168,S001,2024SP,41,Academic planning
U0000510,STU00168,S002,2024FA,85,Tutoring related to C005
