student_id,entry_term_id,entry_age_band,first_generation,pell_eligible,full_time_at_entry,modality_preference,initial_program_id,work_commitment,developmental_math_start,final_outcome
STU00084,2022FA,20-24,False,False,True,Mostly In Person,P006,Moderate,True,Credentialed
STU00085,2023SP,20-24,True,True,False,Mostly In Person,P006,Moderate,True,Stopped Out
STU00086,2023SP,25-34,False,False,False,Mixed,P005,High,False,Stopped Out
STU00087,2024FA,20-24,True,True,True,Mostly In Person,P006,High,False,Active
STU00088,2024FA,20-24,True,False,True,Mixed,P006,High,True,Transferred
STU00089,2023FA,17-19,False,False,True,Mostly In Person,P004,Moderate,True,Transferred
STU00090,2025FA,20-24,False,True,True,Mixed,P008,Moderate,True,Active
STU00091,2024FA,17-19,True,True,True,Mixed,P008,Low,False,Transferred
STU00092,2024FA,20-24,False,True,False,Mixed,P002,High,True,Transferred
STU00093,2023SP,20-24,True,False,False,Mostly In Person,P001,Moderate,True,Stopped Out
STU00094,2022FA,17-19,False,True,True,Mostly In Person,P005,High,False,Credentialed
STU00095,2024FA,17-19,False,False,False,Mostly In Person,P005,Moderate,False,Active
STU00096,2025SP,17-19,True,True,True,Mostly In Person,P006,Moderate,False,Credentialed
STU00097,2022FA,25-34,True,False,True,Mostly In Person,P007,Moderate,True,Stopped Out
STU00098,2024FA,17-19,True,False,True,Mostly In Person,P008,High,True,Stopped Out
STU00099,2025FA,17-19,True,True,True,Mixed,P002,High,True,Active
STU00100,2024FA,25-34,False,True,False,Mostly Online,P008,High,True,Stopped Out
STU00101,2024FA,20-24,True,False,True,Mostly Online,P006,Low,True,Active
STU00102,2025FA,20-24,False,False,True,Mostly In Person,P004,High,True,Active
STU00103,2023SP,25-34,True,True,True,Mostly Online,P006,High,True,Credentialed
STU00104,2024FA,20-24,False,False,False,Mostly In Person,P003,Moderate,True,Stopped Out
STU00105,2023FA,25-34,True,False,False,Mostly Online,P004,Moderate,False,Stopped Out
STU00106,2024SP,17-19,True,False,True,Mostly In Person,P002,High,False,Active
STU00107,2025FA,20-24,True,True,True,Mostly Online,P003,Moderate,True,Active
STU00108,2025FA,17-19,True,False,True,Mostly In Person,P007,High,False,Active
STU00109,2022FA,25-34,True,False,False,Mostly In Person,P002,Moderate,False,Stopped Out
STU00110,2022FA,25-34,True,False,False,Mostly In Person,P003,Low,False,Transferred
STU00111,2024FA,17-19,True,True,False,Mostly In Person,P003,Moderate,True,Stopped Out
STU00112,2023SP,20-24,False,False,True,Mixed,P001,Moderate,True,Stopped Out
STU00113,2025FA,25-34,False,True,False,Mostly In Person,P005,High,True,Active
STU00114,2022FA,17-19,True,False,True,Mostly Online,P002,Moderate,True,Transferred
STU00115,2025FA,25-34,True,False,False,Mixed,P008,Moderate,True,Active
STU00116,2023FA,25-34,True,False,False,Mixed,P001,High,False,Credentialed
STU00117,2023FA,17-19,True,False,False,Mixed,P003,Moderate,False,Transferred
STU00118,2025SP,25-34,True,False,False,Mostly In Person,P003,High,False,Active
STU00119,2022FA,17-19,True,True,True,Mostly In Person,P001,Moderate,True,Transferred
STU00120,2023FA,20-24,False,True,True,Mixed,P002,Moderate,False,Stopped Out
STU00121,2024SP,20-24,False,True,False,Mostly Online,P002,High,False,Stopped Out
STU00122,2022FA,17-19,True,True,False,Mostly In Person,P001,Low,True,Transferred
STU00123,2023SP,17-19,False,False,True,Mostly In Person,P008,High,True,Stopped Out
STU00124,2024FA,17-19,True,False,False,Mixed,P006,Moderate,False,Credentialed
STU00125,2025FA,17-19,True,False,True,Mixed,P008,High,True,Stopped Out
STU00126,2024FA,17-19,False,True,False,Mixed,P001,High,False,Transferred
STU00127,2022FA,17-19,True,True,True,Mostly In Person,P006,Moderate,False,Credentialed
STU00128,2025FA,17-19,False,False,False,Mixed,P001,High,False,Active
STU00129,2025SP,20-24,False,False,True,Mostly Online,P005,Low,True,Active
STU00130,2023FA,17-19,False,False,True,Mostly Online,P003,Moderate,True,Transferred
STU00131,2023FA,17-19,True,True,False,Mostly In Person,P002,Moderate,False,Transferred
STU00132,2024FA,20-24,True,False,False,Mostly In Person,P005,High,True,Active
STU00133,2023FA,20-24,True,True,True,Mostly In Person,P002,Moderate,True,Stopped Out
STU00134,2023FA,35+,False,True,True,Mostly Online,P002,Moderate,True,Transferred
STU00135,2025SP,17-19,True,False,False,Mostly Online,P003,High,False,Active
STU00136,2022FA,17-19,False,False,True,Mostly In Person,P007,Low,False,Stopped Out
STU00137,2022FA,17-19,True,True,True,Mixed,P006,Moderate,False,Transferred
STU00138,2024SP,17-19,False,True,False,Mixed,P002,High,True,Transferred
STU00139,2024FA,20-24,True,False,True,Mixed,P004,Moderate,True,Active
STU00140,2023SP,17-19,False,True,True,Mostly In Person,P003,High,False,Transferred
STU00141,2024SP,17-19,False,False,True,Mostly In Person,P005,Low,False,Credentialed
STU00142,2024FA,20-24,True,False,False,Mixed,P006,High,True,Stopped Out
STU00143,2024SP,17-19,True,True,False,Mostly Online,P004,Low,False,Transferred
STU00144,2024SP,17-19,True,True,True,Mixed,P001,Moderate,False,Stopped Out
STU00145,2023FA,17-19,True,False,True,Mixed,P007,Moderate,False,Credentialed and Transferred
STU00146,2024FA,25-34,True,False,False,Mostly In Person,P008,Moderate,False,Active
STU00147,2022FA,35+,True,True,False,Mixed,P005,Low,False,Credentialed
STU00148,2023FA,17-19,True,False,False,Mostly Online,P007,High,False,Transferred
STU00149,2023FA,25-34,False,False,True,Mostly In Person,P005,Low,False,Credentialed
STU00150,2024FA,35+,False,True,False,Mostly In Person,P001,Low,True,Active
STU00151,2024FA,25-34,False,True,False,Mostly In Person,P002,High,False,Stopped Out
STU00152,2024FA,20-24,False,False,True,Mixed,P008,Low,False,Transferred
STU00153,2024FA,17-19,False,True,True,Mostly In Person,P003,Moderate,False,Active
STU00154,2025SP,25-34,False,True,True,Mostly In Person,P004,Low,True,Transferred
STU00155,2025SP,17-19,False,False,True,Mostly In Person,P008,Moderate,True,Active
STU00156,2025FA,17-19,True,False,False,Mixed,P006,High,True,Active
STU00157,2024SP,17-19,False,True,False,Mixed,P007,Moderate,False,Stopped Out
STU00158,2024FA,20-24,False,True,False,Mostly In Person,P002,High,False,Stopped Out
STU00159,2023FA,17-19,False,False,True,Mostly Online,P006,Moderate,True,Credentialed
STU00160,2022FA,35+,True,True,False,Mixed,P005,Moderate,False,Credentialed
STU00161,2023FA,20-24,False,True,False,Mostly In Person,P008,High,False,Stopped Out
STU00162,2022FA,25-34,False,False,False,Mostly In Person,P005,Moderate,True,Stopped Out
STU00163,2022FA,25-34,False,True,False,Mostly In Person,P004,High,True,Credentialed
STU00164,2025FA,35+,False,True,False,Mostly Online,P004,Moderate,False,Active
STU00165,2025FA,20-24,False,True,True,Mostly Online,P004,Low,False,Active
STU00166,2025SP,25-34,True,False,False,Mixed,P002,High,False,Stopped Out
STU00167,2024FA,17-19,False,True,False,Mostly Online,P008,High,True,Credentialed
STU00168,2024SP,17-19,True,True,False,Mixed,P003,Low,True,Transferred
STU00169,2024SP,20-24,True,False,False,Mixed,P004,Moderate,False,Transferred
STU00170,2025FA,25-34,False,False,False,Mixed,P003,Moderate,True,Active
STU00171,2023FA,17-19,True,True,False,Mostly Online,P001,High,True,Stopped Out
STU00172,2023FA,17-19,True,True,False,Mixed,P007,Low,False,Credentialed and Transferred
STU00173,2024SP,20-24,False,False,False,Mostly In Person,P003,High,True,Active
STU00174,2025FA,17-19,True,False,True,Mostly In Person,P008,Low,False,Active
STU00175,2022FA,17-19,False,True,True,Mostly In Person,P001,High,True,Stopped Out
STU00176,2025FA,25-34,False,True,False,Mostly In Person,P004,High,True,Active
STU00177,2024FA,17-19,True,False,False,Mostly In Person,P004,Moderate,True,Active
STU00178,2022FA,20-24,False,False,True,Mixed,P007,Low,False,Credentialed and Transferred
STU00179,2023FA,20-24,True,True,False,Mixed,P002,High,True,Stopped Out
STU00180,2023FA,17-19,True,False,True,Mixed,P004,Moderate,False,Transferred
STU00181,2025SP,20-24,False,False,True,Mixed,P004,Moderate,True,Active
STU00182,2025FA,17-19,False,False,True,Mixed,P001,Moderate,False,Active
STU00183,2024FA,35+,False,False,False,Mostly In Person,P004,Moderate,False,Stopped Out
STU00184,2025FA,25-34,True,True,True,Mostly In Person,P006,High,True,Active
STU00185,2025FA,20-24,False,True,False,Mostly In Person,P005,High,False,Active
STU00186,2023FA,25-34,False,True,True,Mixed,P004,Low,True,Transferred
STU00187,2024FA,25-34,True,False,False,Mostly In Person,P004,Moderate,True,Transferred
STU00188,2024SP,17-19,False,False,True,Mixed,P001,Moderate,False,Transferred
STU00189,2025SP,17-19,True,False,False,Mixed,P001,Moderate,False,Active
STU00190,2025FA,25-34,False,True,True,Mostly In Person,P004,Moderate,False,Active
STU00191,2023SP,35+,False,False,True,Mostly In Person,P004,Low,False,Transferred
STU00192,2023FA,20-24,False,True,False,Mixed,P007,Moderate,False,Active
STU00193,2024FA,25-34,True,False,False,Mixed,P008,Moderate,False,Active
STU00194,2024FA,17-19,False,False,False,Mostly Online,P006,High,True,Stopped Out
STU00195,2023FA,35+,False,True,False,Mostly Online,P003,High,False,Transferred
STU00196,2022FA,25-34,False,False,True,Mostly In Person,P002,Low,False,Transferred
STU00197,2022FA,25-34,True,False,False,Mixed,P004,Moderate,True,Stopped Out
STU00198,2025SP,25-34,True,True,True,Mixed,P001,High,False,Active
STU00199,2024SP,25-34,True,False,False,Mixed,P006,Moderate,True,Credentialed
STU00200,2025FA,20-24,True,False,True,Mixed,P001,High,False,Active
STU00201,2023SP,25-34,False,True,True,Mostly Online,P006,Moderate,True,Stopped Out
STU00202,2024FA,17-19,True,True,True,Mostly Online,P001,Moderate,True,Active
STU00203,2024FA,17-19,True,False,True,Mixed,P002,Moderate,True,Active
STU00204,2024SP,25-34,True,False,False,Mostly In Person,P003,Moderate,True,Transferred
STU00205,2023SP,20-24,False,True,False,Mostly Online,P002,Moderate,False,Stopped Out
STU00206,2024SP,35+,True,True,False,Mixed,P006,High,False,Active
STU00207,2023FA,25-34,True,True,False,Mostly In Person,P001,Moderate,True,Transferred
STU00208,2023SP,25-34,False,False,True,Mixed,P002,Low,False,Transferred
STU00209,2024SP,20-24,True,False,True,Mostly Online,P003,Moderate,False,Credentialed
STU00210,2024FA,17-19,True,False,True,Mostly In Person,P002,Low,False,Transferred
STU00211,2025FA,20-24,False,False,True,Mostly In Person,P006,Moderate,True,Active
STU00212,2025SP,17-19,False,False,True,Mostly In Person,P001,Moderate,False,Active
STU00213,2024FA,20-24,False,True,False,Mixed,P008,High,False,Active
STU00214,2023SP,17-19,False,True,True,Mostly In Person,P001,Low,True,Transferred
STU00215,2022FA,35+,True,True,False,Mostly In Person,P005,High,False,Credentialed
STU00216,2024FA,20-24,False,True,True,Mostly In Person,P004,High,True,Transferred
STU00217,2023FA,17-19,False,False,True,Mostly In Person,P004,Low,False,Transferred
STU00218,2025FA,17-19,True,False,True,Mostly Online,P003,Low,True,Stopped Out
STU00219,2023FA,20-24,False,True,False,Mixed,P005,High,True,Credentialed
STU00220,2025SP,20-24,False,False,True,Mixed,P002,Low,False,Active
STU00221,2025FA,17-19,False,False,True,Mostly In Person,P001,Moderate,False,Transferred
STU00222,2023FA,25-34,False,True,False,Mostly In Person,P004,Moderate,False,Transferred
STU00223,2024SP,17-19,False,False,False,Mostly In Person,P007,High,True,Credentialed
STU00224,2025FA,17-19,False,True,False,Mixed,P001,Moderate,False,Stopped Out
STU00225,2024FA,25-34,True,False,False,Mostly In Person,P006,Low,True,Credentialed
STU00226,2022FA,17-19,True,True,False,Mixed,P006,Low,True,Credentialed
STU00227,2025FA,35+,False,True,False,Mostly Online,P008,Moderate,False,Active
STU00228,2022FA,20-24,False,True,False,Mixed,P008,Moderate,True,Transferred
STU00229,2024FA,17-19,False,False,True,Mixed,P006,Moderate,True,Active
STU00230,2024FA,17-19,True,True,False,Mostly Online,P001,High,False,Stopped Out
STU00231,2023FA,20-24,True,False,True,Mostly Online,P008,Moderate,True,Active
STU00232,2025SP,20-24,True,True,False,Mixed,P002,High,False,Active
STU00233,2022FA,17-19,True,False,True,Mixed,P001,Low,True,Transferred
STU00234,2025FA,17-19,False,True,True,Mostly In Person,P004,Moderate,False,Active
STU00235,2023SP,20-24,True,False,True,Mostly In Person,P004,Low,True,Transferred
STU00236,2023FA,25-34,True,True,False,Mostly In Person,P002,Moderate,True,Stopped Out
STU00237,2022FA,20-24,True,True,True,Mostly Online,P003,Moderate,False,Transferred
STU00238,2023SP,17-19,True,True,False,Mixed,P008,High,True,Transferred
STU00239,2022FA,25-34,True,True,True,Mostly In Person,P007,Moderate,True,Transferred
STU00240,2025FA,20-24,True,True,True,Mixed,P003,Moderate,True,Active
STU00241,2023FA,25-34,False,True,True,Mixed,P007,High,False,Credentialed
STU00242,2023SP,25-34,True,True,True,Mostly In Person,P003,Low,True,Transferred
STU00243,2023FA,20-24,False,True,False,Mostly In Person,P002,High,False,Stopped Out
STU00244,2022FA,25-34,False,False,True,Mostly In Person,P008,Moderate,True,Transferred
STU00245,2023FA,20-24,False,True,True,Mostly In Person,P007,High,False,Stopped Out
STU00246,2025FA,17-19,True,True,False,Mixed,P004,High,False,Active
STU00247,2022FA,20-24,True,False,True,Mostly Online,P004,Low,True,Transferred
STU00248,2023FA,20-24,True,False,True,Mostly Online,P008,Low,False,Transferred
STU00249,2024FA,20-24,False,False,True,Mostly In Person,P008,Low,True,Transferred
STU00250,2023FA,17-19,True,True,True,Mixed,P008,Moderate,False,Stopped Out
STU00251,2022FA,25-34,True,True,True,Mostly Online,P005,Low,False,Credentialed
STU00252,2025FA,17-19,False,False,True,Mixed,P005,Low,False,Active
STU00253,2025FA,20-24,True,True,False,Mostly Online,P002,High,False,Active
STU00254,2024FA,17-19,False,False,True,Mixed,P006,Moderate,False,Active
STU00255,2025FA,17-19,True,True,True,Mostly In Person,P008,Moderate,True,Active
STU00256,2024FA,35+,False,False,False,Mostly In Person,P005,Moderate,False,Credentialed
STU00257,2023FA,17-19,True,False,True,Mostly In Person,P005,High,True,Stopped Out
STU00258,2023FA,20-24,True,True,False,Mostly Online,P003,High,True,Stopped Out
STU00259,2022FA,17-19,False,True,True,Mostly In Person,P002,High,False,Transferred
STU00260,2025SP,20-24,False,False,True,Mostly In Person,P005,Moderate,True,Stopped Out
STU00261,2024FA,17-19,True,False,True,Mixed,P008,Low,False,Transferred
STU00262,2024SP,17-19,False,True,False,Mostly In Person,P005,High,False,Credentialed
STU00263,2023SP,25-34,True,True,False,Mostly In Person,P002,High,True,Transferred
STU00264,2024SP,20-24,True,True,True,Mixed,P003,Low,True,Credentialed
STU00265,2024SP,25-34,True,False,False,Mostly Online,P002,Moderate,False,Active
STU00266,2024SP,17-19,True,False,False,Mostly In Person,P001,Moderate,False,Active
STU00267,2022FA,17-19,True,True,False,Mostly Online,P001,High,False,Transferred
STU00268,2023FA,17-19,False,True,True,Mostly Online,P004,Moderate,True,Transferred
STU00269,2025SP,20-24,True,False,True,Mixed,P008,Moderate,True,Transferred
STU00270,2022FA,17-19,True,True,False,Mostly In Person,P002,Moderate,True,Transferred
STU00271,2025SP,20-24,True,False,True,Mostly In Person,P006,Moderate,True,Credentialed
STU00272,2024SP,17-19,False,False,True,Mostly Online,P001,Moderate,True,Transferred
STU00273,2024SP,17-19,False,False,True,Mixed,P002,Low,True,Transferred
STU00274,2023FA,17-19,True,False,True,Mostly In Person,P007,Moderate,True,Credentialed
STU00275,2025FA,17-19,False,False,True,Mixed,P003,High,True,Active
STU00276,2025FA,35+,True,True,False,Mostly Online,P007,Moderate,False,Stopped Out
STU00277,2022FA,17-19,False,True,True,Mostly Online,P004,High,False,Transferred
STU00278,2023FA,17-19,False,False,False,Mixed,P005,High,False,Stopped Out
STU00279,2023SP,20-24,True,True,False,Mixed,P006,High,True,Credentialed
STU00280,2024FA,17-19,False,True,True,Mostly Online,P006,High,False,Active
STU00281,2024SP,20-24,True,True,True,Mixed,P006,High,True,Credentialed
STU00282,2024FA,25-34,True,False,False,Mixed,P008,High,True,Stopped Out
STU00283,2024FA,17-19,True,True,True,Mostly Online,P008,Low,True,Active
STU00284,2025SP,17-19,True,True,False,Mostly In Person,P001,High,True,Active
STU00285,2025SP,17-19,False,True,False,Mostly Online,P007,Low,True,Active
STU00286,2025FA,25-34,False,False,False,Mixed,P001,Moderate,False,Active
STU00287,2025FA,25-34,True,False,False,Mixed,P006,Moderate,False,Active
STU00288,2023SP,25-34,True,False,False,Mixed,P008,Moderate,False,Transferred
STU00289,2024SP,25-34,True,False,True,Mostly Online,P002,Moderate,False,Credentialed and Transferred
STU00290,2022FA,25-34,True,True,False,Mixed,P002,High,False,Stopped Out
STU00291,2022FA,20-24,False,False,True,Mixed,P001,Moderate,True,Transferred
STU00292,2024FA,20-24,False,True,True,Mixed,P001,Low,True,Active
STU00293,2023FA,17-19,False,False,True,Mostly Online,P003,Low,False,Transferred
STU00294,2024SP,20-24,False,False,True,Mostly In Person,P001,Low,False,Transferred
STU00295,2023FA,17-19,False,True,False,Mostly Online,P004,High,False,Transferred
STU00296,2025FA,17-19,True,True,True,Mixed,P006,Moderate,True,Active
STU00297,2024FA,20-24,True,True,False,Mixed,P002,High,False,Active
STU00298,2024SP,25-34,True,True,True,Mixed,P004,Moderate,False,Stopped Out
STU00299,2022FA,20-24,False,False,True,Mostly In Person,P001,Moderate,True,Stopped Out
STU00300,2023FA,17-19,True,True,True,Mostly Online,P008,Moderate,False,Credentialed and Transferred
STU00301,2025FA,20-24,False,True,True,Mostly Online,P001,Moderate,True,Active
STU00302,2024FA,20-24,True,True,False,Mixed,P002,High,True,Active
STU00303,2025FA,20-24,True,False,True,Mostly In Person,P004,Moderate,True,Active
STU00304,2022FA,20-24,True,True,True,Mostly In Person,P008,Low,True,Transferred
STU00305,2023FA,17-19,False,True,True,Mostly Online,P004,High,True,Stopped Out
STU00306,2025FA,25-34,False,False,False,Mostly Online,P003,Low,True,Active
STU00307,2022FA,35+,False,False,True,Mixed,P008,Moderate,False,Transferred
STU00308,2025FA,17-19,False,False,True,Mostly In Person,P001,Low,False,Active
STU00309,2024FA,17-19,False,True,True,Mixed,P001,High,False,Stopped Out
STU00310,2022FA,35+,True,False,True,Mostly In Person,P001,Moderate,True,Transferred
STU00311,2024SP,35+,False,True,False,Mixed,P007,High,True,Active
STU00312,2025FA,17-19,False,False,False,Mixed,P006,Moderate,False,Active
STU00313,2024FA,17-19,True,False,True,Mixed,P006,High,True,Credentialed
STU00314,2022FA,20-24,True,False,True,Mostly In Person,P008,Moderate,True,Transferred
STU00315,2024SP,17-19,False,False,True,Mostly Online,P007,Moderate,False,Credentialed and Transferred
STU00316,2025FA,20-24,False,False,True,Mostly Online,P008,Moderate,True,Active
STU00317,2025FA,25-34,True,True,False,Mostly In Person,P005,High,False,Active
STU00318,2024FA,20-24,True,True,False,Mostly In Person,P008,High,False,Transferred
STU00319,2023FA,25-34,True,True,True,Mostly In Person,P008,High,True,Active
STU00320,2025SP,17-19,True,True,True,Mostly In Person,P001,Moderate,False,Active
STU00321,2025FA,17-19,False,False,True,Mostly In Person,P003,Low,False,Active
STU00322,2025SP,17-19,False,False,True,Mixed,P001,Low,False,Transferred
STU00323,2024FA,20-24,True,True,False,Mixed,P006,Low,True,Active
STU00324,2024FA,20-24,True,False,True,Mostly Online,P006,Moderate,True,Active
STU00325,2023FA,17-19,True,True,True,Mixed,P007,Moderate,False,Credentialed and Transferred
STU00326,2022FA,35+,False,False,False,Mostly In Person,P008,High,True,Stopped Out
STU00327,2023SP,25-34,True,True,False,Mixed,P007,Moderate,False,Credentialed and Transferred
STU00328,2025SP,17-19,True,False,True,Mostly Online,P008,Moderate,True,Active
STU00329,2025FA,17-19,False,True,True,Mostly Online,P007,Moderate,False,Active
STU00330,2024SP,25-34,False,True,False,Mostly In Person,P001,Moderate,False,Stopped Out
STU00331,2023SP,20-24,False,True,True,Mostly Online,P005,Moderate,True,Credentialed
STU00332,2025FA,17-19,True,True,False,Mixed,P003,High,True,Active
STU00333,2024FA,20-24,False,True,True,Mostly In Person,P003,High,True,Stopped Out
STU00334,2023FA,20-24,False,True,False,Mostly Online,P007,High,False,Stopped Out
STU00335,2023FA,17-19,False,False,True,Mostly In Person,P001,Low,False,Transferred
STU00336,2023SP,20-24,False,True,True,Mostly Online,P003,Moderate,False,Transferred
STU00337,2024SP,17-19,True,True,False,Mostly In Person,P001,High,False,Transferred
STU00338,2023SP,17-19,True,False,False,Mostly Online,P002,High,True,Stopped Out
STU00339,2022FA,25-34,True,False,False,Mixed,P006,High,True,Stopped Out
STU00340,2025FA,25-34,True,False,True,Mostly In Person,P008,Moderate,True,Active
STU00341,2023FA,20-24,False,False,True,Mostly In Person,P001,Low,False,Stopped Out
STU00342,2023SP,17-19,True,True,True,Mixed,P001,Moderate,True,Transferred
